CAD_E|CASLC13010396//10/17/2013 12:01:35 AM
CAD_U|CACMB|E5791|AIQ|20131017000135|G-16B|||//10/17/2013 12:01:35 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:11:47 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:11:47 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//10/17/2013 12:11:48 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//10/17/2013 12:11:48 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//10/17/2013 12:11:48 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//10/17/2013 12:11:49 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//10/17/2013 12:11:49 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//10/17/2013 12:11:49 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//10/17/2013 12:11:50 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//10/17/2013 12:11:50 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//10/17/2013 12:11:50 AM
CAD_U|CABEU|E4673|AIQ|20130807172241|BEU-30|||//10/17/2013 12:11:51 AM
CAD_U|CABEU|E4673|AIQ|20130807172241|BEU-30|||//10/17/2013 12:11:51 AM
CAD_U|CABEU|E4673|AIQ|20130807172241|BEU-30|||//10/17/2013 12:11:51 AM
CAD_U|CABEU|E4674|AIQ|20130827143743|BEU-30|||//10/17/2013 12:11:53 AM
CAD_U|CABEU|E4674|AIQ|20130827143743|BEU-30|||//10/17/2013 12:11:53 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//10/17/2013 12:11:54 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//10/17/2013 12:11:54 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//10/17/2013 12:11:54 AM
CAD_U|CABEU|E4677|AIQ|20130501131824|BEU-30|||//10/17/2013 12:11:55 AM
CAD_U|CABEU|E4677|AIQ|20130501131824|BEU-30|||//10/17/2013 12:11:55 AM
CAD_U|CABEU|E4677|AIQ|20130501131824|BEU-30|||//10/17/2013 12:11:55 AM
CAD_U|CABEU|E4684|AIQ|20130827143753|BEU-35|||//10/17/2013 12:11:56 AM
CAD_U|CABEU|E4684|AIQ|20130827143753|BEU-35|||//10/17/2013 12:11:56 AM
CAD_U|CABEU|E4685|AIQ|20130904070239|BEU-30|||//10/17/2013 12:11:57 AM
CAD_U|CABEU|E4685|AIQ|20130904070239|BEU-30|||//10/17/2013 12:11:57 AM
CAD_U|CABEU|E4685|AIQ|20130904070239|BEU-30|||//10/17/2013 12:11:57 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//10/17/2013 12:11:58 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//10/17/2013 12:11:58 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//10/17/2013 12:11:58 AM
CAD_U|CABEU|E4693|AIQ|20130909114044|BEU-30|||//10/17/2013 12:11:59 AM
CAD_U|CABEU|E4693|AIQ|20130909114044|BEU-30|||//10/17/2013 12:11:59 AM
CAD_U|CABEU|E4693|AIQ|20130909114044|BEU-30|||//10/17/2013 12:11:59 AM
CAD_U|CABEU|E4694|AIQ|20130827143828|BEU-30|||//10/17/2013 12:12:00 AM
CAD_U|CABEU|E4694|AIQ|20130827143828|BEU-30|||//10/17/2013 12:12:00 AM
CAD_U|CABEU|GAB2|AIQ|20130422080347|BEU-30|||//10/17/2013 12:12:01 AM
CAD_U|CABEU|GAB2|AIQ|20130422080347|BEU-30|||//10/17/2013 12:12:01 AM
CAD_U|CABEU|GAB2|AIQ|20130422080347|BEU-30|||//10/17/2013 12:12:01 AM
CAD_U|CABEU|GAB3|AIQ|20130422080348|BEU-30|||//10/17/2013 12:12:02 AM
CAD_U|CABEU|GAB3|AIQ|20130422080348|BEU-30|||//10/17/2013 12:12:03 AM
CAD_U|CABEU|GAB3|AIQ|20130422080348|BEU-30|||//10/17/2013 12:12:03 AM
CAD_U|CABEU|GAB4|AIQ|20130422080351|BEU-30|||//10/17/2013 12:12:04 AM
CAD_U|CABEU|GAB4|AIQ|20130422080351|BEU-30|||//10/17/2013 12:12:04 AM
CAD_U|CABEU|GAB4|AIQ|20130422080351|BEU-30|||//10/17/2013 12:12:04 AM
CAD_U|CABEU|GAB5|AIQ|20130415174410|BEU-30|||//10/17/2013 12:12:05 AM
CAD_U|CABEU|GAB5|AIQ|20130415174410|BEU-30|||//10/17/2013 12:12:05 AM
CAD_U|CABEU|GAB5|AIQ|20130415174410|BEU-30|||//10/17/2013 12:12:05 AM
CAD_U|CACDF|T80|AIQ|20130501131824|HAAB|||//10/17/2013 12:12:06 AM
CAD_U|CACDF|T80|AIQ|20130501131824|HAAB|||//10/17/2013 12:12:06 AM
CAD_U|CACDF|T81|AIQ|20130501130356|HAAB|||//10/17/2013 12:12:07 AM
CAD_U|CACDF|T81|AIQ|20130501130356|HAAB|||//10/17/2013 12:12:07 AM
CAD_U|CAFKU|E4364|AIQ|20130424211107|FKU-1A|||//10/17/2013 12:12:08 AM
CAD_U|CAFKU|E4364|AIQ|20130424211107|FKU-1A|||//10/17/2013 12:12:08 AM
CAD_U|CAFKU|E4368|AIQ|20130408081652|FKU-2|||//10/17/2013 12:12:09 AM
CAD_U|CAFKU|E4368|AIQ|20130408081652|FKU-2|||//10/17/2013 12:12:09 AM
CAD_U|CAFKU|E4368|AIQ|20130408081652|FKU-2|||//10/17/2013 12:12:09 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:12:10 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:12:10 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:12:10 AM
CAD_U|CAFKU|E4373|AIQ|20130424211125|FKU-2|||//10/17/2013 12:12:11 AM
CAD_U|CAFKU|E4373|AIQ|20130424211125|FKU-2|||//10/17/2013 12:12:11 AM
CAD_U|CAFKU|E4373|AIQ|20130424211125|FKU-2|||//10/17/2013 12:12:11 AM
CAD_U|CAFKU|E4382|AIQ|20130410172033|FKU-2|||//10/17/2013 12:12:12 AM
CAD_U|CAFKU|E4382|AIQ|20130410172033|FKU-2|||//10/17/2013 12:12:12 AM
CAD_U|CAFKU|E4382|AIQ|20130410172033|FKU-2|||//10/17/2013 12:12:13 AM
CAD_U|CAFKU|E4383|AIQ|20130424211127|FKU-1A|||//10/17/2013 12:12:14 AM
CAD_U|CAFKU|E4383|AIQ|20130424211127|FKU-1A|||//10/17/2013 12:12:14 AM
CAD_U|CAFKU|E4383|AIQ|20130424211127|FKU-1A|||//10/17/2013 12:12:14 AM
CAD_U|CAFKU|MIR1|AIQ|20130408091444|FKU-2|||//10/17/2013 12:12:15 AM
CAD_U|CAFKU|MIR1|AIQ|20130408091444|FKU-2|||//10/17/2013 12:12:15 AM
CAD_U|CAFKU|MIR1|AIQ|20130408091444|FKU-2|||//10/17/2013 12:12:15 AM
CAD_U|CAFKU|MIR2|AIQ|20130421081010|FKU-2|||//10/17/2013 12:12:16 AM
CAD_U|CAFKU|MIR2|AIQ|20130421081010|FKU-2|||//10/17/2013 12:12:16 AM
CAD_U|CAFKU|MIR2|AIQ|20130421081010|FKU-2|||//10/17/2013 12:12:16 AM
CAD_U|CAFKU|MIR3|AIQ|20130422091630|FKU-1A|||//10/17/2013 12:12:17 AM
CAD_U|CAFKU|MIR3|AIQ|20130422091630|FKU-1A|||//10/17/2013 12:12:17 AM
CAD_U|CAFKU|MIR3|AIQ|20130422091630|FKU-1A|||//10/17/2013 12:12:17 AM
CAD_U|CAFKU|MIR4|AIQ|20130422091651|FKU-2|||//10/17/2013 12:12:18 AM
CAD_U|CAFKU|MIR4|AIQ|20130422091651|FKU-2|||//10/17/2013 12:12:18 AM
CAD_U|CAFKU|MIR4|AIQ|20130422091651|FKU-2|||//10/17/2013 12:12:18 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//10/17/2013 12:18:02 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//10/17/2013 12:18:03 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//10/17/2013 12:18:03 AM
CAD_U|CAFKU|D4341|AIQ|20130707152524|FKU-1A|||//10/17/2013 12:18:04 AM
CAD_U|CAFKU|D4341|AIQ|20130707152524|FKU-1A|||//10/17/2013 12:18:04 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/17/2013 12:18:05 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/17/2013 12:18:05 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/17/2013 12:18:05 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/17/2013 12:18:06 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/17/2013 12:18:06 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/17/2013 12:18:06 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/17/2013 12:18:07 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/17/2013 12:18:07 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/17/2013 12:18:07 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//10/17/2013 12:18:08 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//10/17/2013 12:18:08 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//10/17/2013 12:18:08 AM
CAD_U|CABEU|E4661|AIQ|20130824132327|BEU-30|||//10/17/2013 12:18:09 AM
CAD_U|CABEU|E4661|AIQ|20130824132327|BEU-30|||//10/17/2013 12:18:09 AM
CAD_U|CABEU|E4661|AIQ|20130824132327|BEU-30|||//10/17/2013 12:18:09 AM
CAD_U|CABEU|E4663|AIQ|20130924054912|BEU-30|||//10/17/2013 12:18:10 AM
CAD_U|CABEU|E4663|AIQ|20130924054912|BEU-30|||//10/17/2013 12:18:10 AM
CAD_U|CABEU|E4663|AIQ|20130924054912|BEU-30|||//10/17/2013 12:18:10 AM
CAD_U|CABEU|E4664|AIQ|20131012121541|BEU-31|||//10/17/2013 12:18:11 AM
CAD_U|CABEU|E4664|AIQ|20131012121541|BEU-31|||//10/17/2013 12:18:12 AM
CAD_U|CABEU|E4665|AIQ|20130913113259|BEU-30|||//10/17/2013 12:18:13 AM
CAD_U|CABEU|E4665|AIQ|20130913113259|BEU-30|||//10/17/2013 12:18:13 AM
CAD_U|CABEU|E4665|AIQ|20130913113259|BEU-30|||//10/17/2013 12:18:13 AM
CAD_U|CABEU|E4666|AIQ|20130910070153|BEU-30|||//10/17/2013 12:18:14 AM
CAD_U|CABEU|E4666|AIQ|20130910070153|BEU-30|||//10/17/2013 12:18:14 AM
CAD_U|CABEU|E4666|AIQ|20130910070153|BEU-30|||//10/17/2013 12:18:14 AM
CAD_U|CABEU|E4669|AIQ|20131016110516|BEU-30|||//10/17/2013 12:18:15 AM
CAD_U|CABEU|E4669|AIQ|20131016110516|BEU-30|||//10/17/2013 12:18:15 AM
CAD_U|CABEU|E4673|AIQ|20130716194927|BEU-30|||//10/17/2013 12:18:16 AM
CAD_U|CABEU|E4673|AIQ|20130716194927|BEU-30|||//10/17/2013 12:18:16 AM
CAD_U|CABEU|E4673|AIQ|20130716194927|BEU-30|||//10/17/2013 12:18:16 AM
CAD_U|CABEU|E4674|AIQ|20130924161135|BEU-30|||//10/17/2013 12:18:17 AM
CAD_U|CABEU|E4674|AIQ|20130924161135|BEU-30|||//10/17/2013 12:18:17 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/17/2013 12:18:18 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/17/2013 12:18:18 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/17/2013 12:18:18 AM
CAD_U|CAFKU|E4354|AIQ|20130804163003|FKU-1A|||//10/17/2013 12:18:19 AM
CAD_U|CAFKU|E4354|AIQ|20130804163003|FKU-1A|||//10/17/2013 12:18:19 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/17/2013 12:18:20 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/17/2013 12:18:20 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/17/2013 12:18:20 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:18:22 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:18:22 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:18:22 AM
CAD_U|CABEU|E4675|AIQ|20130824075309|BEU-30|||//10/17/2013 12:18:23 AM
CAD_U|CABEU|E4675|AIQ|20130824075309|BEU-30|||//10/17/2013 12:18:23 AM
CAD_U|CABEU|E4675|AIQ|20130824075309|BEU-30|||//10/17/2013 12:18:23 AM
CAD_U|CABEU|E4676|AIQ|20130907075112|BEU-30|||//10/17/2013 12:18:24 AM
CAD_U|CABEU|E4676|AIQ|20130907075112|BEU-30|||//10/17/2013 12:18:24 AM
CAD_U|CABEU|E4676|AIQ|20130907075112|BEU-30|||//10/17/2013 12:18:24 AM
CAD_U|CABEU|E4677|AIQ|20130518150926|BEU-30|||//10/17/2013 12:18:25 AM
CAD_U|CABEU|E4677|AIQ|20130518150926|BEU-30|||//10/17/2013 12:18:25 AM
CAD_U|CABEU|E4677|AIQ|20130518150926|BEU-30|||//10/17/2013 12:18:25 AM
CAD_U|CABEU|E4681|AIQ|20130725225444|BEU-30|||//10/17/2013 12:18:26 AM
CAD_U|CABEU|E4681|AIQ|20130725225444|BEU-30|||//10/17/2013 12:18:26 AM
CAD_U|CABEU|E4681|AIQ|20130725225444|BEU-30|||//10/17/2013 12:18:26 AM
CAD_U|CABEU|E4684|AIQ|20131007151337|BEU-35|||//10/17/2013 12:18:27 AM
CAD_U|CABEU|E4684|AIQ|20131007151337|BEU-35|||//10/17/2013 12:18:27 AM
CAD_U|CABEU|E4685|AIQ|20130602121133|BEU-30|||//10/17/2013 12:18:28 AM
CAD_U|CABEU|E4685|AIQ|20130602121133|BEU-30|||//10/17/2013 12:18:28 AM
CAD_U|CABEU|E4685|AIQ|20130602121133|BEU-30|||//10/17/2013 12:18:28 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/17/2013 12:18:29 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/17/2013 12:18:29 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/17/2013 12:18:29 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/17/2013 12:18:31 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/17/2013 12:18:31 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/17/2013 12:18:31 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/17/2013 12:18:32 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/17/2013 12:18:32 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/17/2013 12:18:32 AM
CAD_U|CABEU|E4694|AIQ|20131012121648|BEU-30|||//10/17/2013 12:18:33 AM
CAD_U|CABEU|E4694|AIQ|20131012121648|BEU-30|||//10/17/2013 12:18:33 AM
CAD_U|CABEU|E4694|AIQ|20131012121648|BEU-30|||//10/17/2013 12:18:33 AM
CAD_U|CABEU|GAB1|AIQ|20131013074248|BEU-30|||//10/17/2013 12:18:34 AM
CAD_U|CABEU|GAB1|AIQ|20131013074248|BEU-30|||//10/17/2013 12:18:34 AM
CAD_U|CABEU|GAB1|AIQ|20131013074248|BEU-30|||//10/17/2013 12:18:34 AM
CAD_U|CABEU|GAB2|AIQ|20131014142356|BEU-30|||//10/17/2013 12:18:35 AM
CAD_U|CABEU|GAB2|AIQ|20131014142356|BEU-30|||//10/17/2013 12:18:35 AM
CAD_U|CABEU|GAB2|AIQ|20131014142356|BEU-30|||//10/17/2013 12:18:35 AM
CAD_U|CABEU|GAB3|AIQ|20131014071213|BEU-30|||//10/17/2013 12:18:36 AM
CAD_U|CABEU|GAB3|AIQ|20131014071213|BEU-30|||//10/17/2013 12:18:36 AM
CAD_U|CABEU|GAB3|AIQ|20131014071213|BEU-30|||//10/17/2013 12:18:36 AM
CAD_U|CABEU|GAB4|AIQ|20131015072655|BEU-30|||//10/17/2013 12:18:37 AM
CAD_U|CABEU|GAB4|AIQ|20131015072655|BEU-30|||//10/17/2013 12:18:37 AM
CAD_U|CABEU|GAB4|AIQ|20131015072655|BEU-30|||//10/17/2013 12:18:37 AM
CAD_U|CABEU|GAB5|AIQ|20131015072740|BEU-30|||//10/17/2013 12:18:38 AM
CAD_U|CABEU|GAB5|AIQ|20131015072740|BEU-30|||//10/17/2013 12:18:38 AM
CAD_U|CABEU|GAB5|AIQ|20131015072740|BEU-30|||//10/17/2013 12:18:38 AM
CAD_U|CABEU|GAB6|AIQ|20131015072937|BEU-30|||//10/17/2013 12:18:39 AM
CAD_U|CABEU|GAB6|AIQ|20131015072937|BEU-30|||//10/17/2013 12:18:39 AM
CAD_U|CABEU|GAB6|AIQ|20131015072937|BEU-30|||//10/17/2013 12:18:39 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/17/2013 12:18:40 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/17/2013 12:18:41 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/17/2013 12:18:41 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/17/2013 12:18:42 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/17/2013 12:18:42 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/17/2013 12:18:42 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/17/2013 12:18:43 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/17/2013 12:18:43 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/17/2013 12:18:43 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/17/2013 12:18:44 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/17/2013 12:18:44 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/17/2013 12:18:44 AM
CAD_U|CAFKU|E4364|AIQ|20130804163003|FKU-1A|||//10/17/2013 12:18:45 AM
CAD_U|CAFKU|E4364|AIQ|20130804163003|FKU-1A|||//10/17/2013 12:18:45 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/17/2013 12:18:46 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/17/2013 12:18:46 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/17/2013 12:18:46 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:18:47 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:18:47 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/17/2013 12:18:47 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/17/2013 12:18:48 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/17/2013 12:18:49 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/17/2013 12:18:49 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/17/2013 12:18:50 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/17/2013 12:18:50 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/17/2013 12:18:50 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/17/2013 12:18:51 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/17/2013 12:18:51 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/17/2013 12:18:51 AM
CAD_U|CAFKU|MIR1|AIQ|20131014082914|FKU-2|||//10/17/2013 12:18:52 AM
CAD_U|CAFKU|MIR1|AIQ|20131014082914|FKU-2|||//10/17/2013 12:18:52 AM
CAD_U|CAFKU|MIR1|AIQ|20131014082914|FKU-2|||//10/17/2013 12:18:52 AM
CAD_U|CAFKU|MIR2|AIQ|20131013081312|FKU-2|||//10/17/2013 12:18:53 AM
CAD_U|CAFKU|MIR2|AIQ|20131013081312|FKU-2|||//10/17/2013 12:18:53 AM
CAD_U|CAFKU|MIR2|AIQ|20131013081312|FKU-2|||//10/17/2013 12:18:53 AM
CAD_U|CAFKU|MIR3|AIQ|20131012082215|FKU-1A|||//10/17/2013 12:18:54 AM
CAD_U|CAFKU|MIR3|AIQ|20131012082215|FKU-1A|||//10/17/2013 12:18:54 AM
CAD_U|CAFKU|MIR3|AIQ|20131012082215|FKU-1A|||//10/17/2013 12:18:54 AM
CAD_U|CAFKU|MIR4|AIQ|20131014082915|FKU-2|||//10/17/2013 12:18:55 AM
CAD_U|CAFKU|MIR4|AIQ|20131014082915|FKU-2|||//10/17/2013 12:18:55 AM
CAD_U|CAFKU|MIR4|AIQ|20131014082915|FKU-2|||//10/17/2013 12:18:55 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:39:47 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:39:47 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:40:00 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:40:00 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:40:08 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|OOA|OTH, ASSIST|-120.727177|35.320794|203 E VINTAGE ST||S CEDARWOOD ST|S AVOCADO AVE|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//10/17/2013 12:40:08 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|MED|MEDICAL AID CODE 3|-120.470068|35.041690|203 E VINTAGE ST ||270 BLK S AVOCADO AVE|271 BLK S CEDARWOOD AVE|633_B_5/633_B_5|||||Command:CO CMD 4;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//10/17/2013 12:40:18 AM
CAD_E|CASLC13010397|CASLU|EMS3CDF/|20131017003913|MED|MEDICAL AID CODE 3|-120.470068|35.041690|203 E VINTAGE ST ||270 BLK S AVOCADO AVE|271 BLK S CEDARWOOD AVE|633_B_5/633_B_5|||||Command:CO CMD 4;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//10/17/2013 12:40:22 AM
CAD_E|CASLC13010397|CASLU2013008417|EMS3CDF/|20131017003913|MED|MEDICAL AID CODE 3|-120.470068|35.041690|203 E VINTAGE ST ||270 BLK S AVOCADO AVE|271 BLK S CEDARWOOD AVE|633_B_5/633_B_5||||ME20|Command:CO CMD 4;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//10/17/2013 12:40:35 AM
