CAD_U|CASLC|WT50|RTQ|20160608234641|C-7A|16008363|FSR|CASLU2016006104//6/9/2016 12:11:44 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/9/2016 12:22:47 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:47 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:47 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:47 AM
CAD_U|CAFKU|E4354|AIQ|20160608085544|FKU-1A|||//6/9/2016 12:22:48 AM
CAD_U|CAFKU|E4354|AIQ|20160608085544|FKU-1A|||//6/9/2016 12:22:48 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/9/2016 12:22:48 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/9/2016 12:22:48 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/9/2016 12:22:48 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/9/2016 12:22:49 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/9/2016 12:22:50 AM
CAD_U|CABEU|E4679|AIQ|20160608153848|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4679|AIQ|20160608153848|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4679|AIQ|20160608153848|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4684|AIQ|20160607182258|BEU-19|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4684|AIQ|20160607182258|BEU-19|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/9/2016 12:22:51 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/9/2016 12:22:52 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/9/2016 12:22:52 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/9/2016 12:22:52 AM
CAD_U|CAFKU|E4364|AIQ|20160523060451|FKU-1A|||//6/9/2016 12:22:53 AM
CAD_U|CAFKU|E4364|AIQ|20160523060451|FKU-1A|||//6/9/2016 12:22:53 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:53 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:53 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:53 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/9/2016 12:22:53 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/9/2016 12:22:53 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/9/2016 12:22:53 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:53 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|E4694|AIQ|20160607194026|BEU-19|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|E4694|AIQ|20160607194026|BEU-19|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|E4699|AIQ|20160531184454|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|E4699|AIQ|20160531184454|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB1|AIQ|20160603070148|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB1|AIQ|20160603070148|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB1|AIQ|20160603070148|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/9/2016 12:22:54 AM
CAD_U|CABEU|GAB3|AIQ|20160604064200|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|GAB3|AIQ|20160604064200|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|GAB3|AIQ|20160604064200|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|GAB5|AIQ|20160530063846|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|GAB5|AIQ|20160530063846|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|GAB5|AIQ|20160530063846|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/9/2016 12:22:55 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/9/2016 12:22:55 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/9/2016 12:22:55 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/9/2016 12:22:55 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/9/2016 12:22:56 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/9/2016 12:22:56 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4370|AIQ|20160525130157|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4370|AIQ|20160525130157|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4370|AIQ|20160525130157|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4380|AIQ|20160604090444|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4380|AIQ|20160604090444|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4380|AIQ|20160604090444|FKU-1A|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:56 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR3|AIQ|20160530065409|FKU-1A|||//6/9/2016 12:22:57 AM
CAD_U|CAFKU|MIR3|AIQ|20160530065409|FKU-1A|||//6/9/2016 12:22:58 AM
CAD_U|CAFKU|MIR3|AIQ|20160530065409|FKU-1A|||//6/9/2016 12:22:58 AM
CAD_U|CAFKU|MIR4|AIQ|20160530065410|FKU-2|||//6/9/2016 12:22:58 AM
CAD_U|CAFKU|MIR4|AIQ|20160530065410|FKU-2|||//6/9/2016 12:22:58 AM
CAD_U|CAFKU|MIR4|AIQ|20160530065410|FKU-2|||//6/9/2016 12:22:58 AM
CAD_U|CASLU|E3460|AIQ|20160609003157|L-3A|||//6/9/2016 12:31:57 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|OOA|OTH, ASSIST|-120.727177|35.320794|2331 LOPEZ DR||COLLI WAY|CHARAN WAY|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/9/2016 12:34:40 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|OOA|OTH, ASSIST|-120.727177|35.320794|2331 LOPEZ DR||COLLI WAY|CHARAN WAY|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/9/2016 12:34:40 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|OOA|OTH, ASSIST|-120.727177|35.320794|2331 LOPEZ DR||COLLI WAY|CHARAN WAY|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/9/2016 12:34:43 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|OOA|OTH, ASSIST|-120.727177|35.320794|2331 LOPEZ DR||COLLI WAY|CHARAN WAY|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/9/2016 12:34:43 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:34:57 AM
CAD_E|CASLC16008377|CASLU|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:35:00 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:35:07 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:35:07 AM
CAD_U|CAPSM|E64|DSP|20160609003507|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:35:08 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:35:19 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:35:46 AM
CAD_U|CAPSM|E64|DSP|20160609003507|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:37:12 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:37:50 AM
CAD_U|CAPSM|E64|ACK|20160609003750|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:37:50 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:39:27 AM
CAD_U|CAPSM|E64|ENR|20160609003926|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:39:27 AM
CAD_U|CAPSM|E64|ENR|20160609003926|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:39:27 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:13 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:28 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:28 AM
CAD_E|CASLC16008377|CASLU2016006115|EMS3CDF/|20160609003437|MED|MEDICAL AID CODE 3|-120.541684|35.146826|2331 LOPEZ DR ||100 BLK CHARAN WAY| COLLI WAY|633_B_5/633_B_5||||E64|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//6/9/2016 12:45:37 AM
CAD_U|CAPSM|E64|RTQ|20160609004537|A-32M|16008377|MED|CASLU2016006115//6/9/2016 12:45:37 AM
