CAD_E|CASLC14008910//7/17/2014 12:03:07 AM
CAD_U|CABOB|E8965|AIQ|20140717000307|CR-18A|||//7/17/2014 12:03:07 AM
CAD_U|CABEU|D46E1|AIQ|20140714120216|BEU-30|||//7/17/2014 1:11:39 AM
CAD_U|CABEU|D46E1|AIQ|20140714120216|BEU-30|||//7/17/2014 1:11:39 AM
CAD_U|CAFKU|D4340|AIQ|20140630084254|FKU-1A|||//7/17/2014 1:11:40 AM
CAD_U|CAFKU|D4340|AIQ|20140630084254|FKU-1A|||//7/17/2014 1:11:40 AM
CAD_U|CAFKU|D4340|AIQ|20140630084254|FKU-1A|||//7/17/2014 1:11:40 AM
CAD_U|CAFKU|D4341|AIQ|20140524143147|FKU-1A|||//7/17/2014 1:11:41 AM
CAD_U|CAFKU|D4341|AIQ|20140524143147|FKU-1A|||//7/17/2014 1:11:41 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//7/17/2014 1:11:42 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//7/17/2014 1:11:42 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//7/17/2014 1:11:42 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//7/17/2014 1:11:43 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//7/17/2014 1:11:43 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//7/17/2014 1:11:43 AM
CAD_U|CABEU|E4664|AIQ|20140712073733|BEU-31|||//7/17/2014 1:11:44 AM
CAD_U|CABEU|E4664|AIQ|20140712073733|BEU-31|||//7/17/2014 1:11:44 AM
CAD_U|CABEU|E4664|AIQ|20140712073733|BEU-31|||//7/17/2014 1:11:44 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//7/17/2014 1:11:45 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//7/17/2014 1:11:46 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//7/17/2014 1:11:46 AM
CAD_U|CABEU|E4666|AIQ|20140612105938|BEU-30|||//7/17/2014 1:11:47 AM
CAD_U|CABEU|E4666|AIQ|20140612105938|BEU-30|||//7/17/2014 1:11:47 AM
CAD_U|CABEU|E4666|AIQ|20140612105938|BEU-30|||//7/17/2014 1:11:47 AM
CAD_U|CABEU|E4669|AIQ|20140624133759|BEU-30|||//7/17/2014 1:11:48 AM
CAD_U|CABEU|E4669|AIQ|20140624133759|BEU-30|||//7/17/2014 1:11:48 AM
CAD_U|CABEU|E4669|AIQ|20140624133759|BEU-30|||//7/17/2014 1:11:48 AM
CAD_U|CABEU|E4673|AIQ|20140628171733|BEU-30|||//7/17/2014 1:11:49 AM
CAD_U|CABEU|E4673|AIQ|20140628171733|BEU-30|||//7/17/2014 1:11:49 AM
CAD_U|CABEU|E4673|AIQ|20140628171733|BEU-30|||//7/17/2014 1:11:49 AM
CAD_U|CABEU|E4674|AIQ|20140704150551|BEU-35|||//7/17/2014 1:11:50 AM
CAD_U|CABEU|E4674|AIQ|20140704150551|BEU-35|||//7/17/2014 1:11:50 AM
CAD_U|CABEU|E4675|AIQ|20140518085412|BEU-30|||//7/17/2014 1:11:51 AM
CAD_U|CABEU|E4675|AIQ|20140518085412|BEU-30|||//7/17/2014 1:11:51 AM
CAD_U|CABEU|E4675|AIQ|20140518085412|BEU-30|||//7/17/2014 1:11:51 AM
CAD_U|CABEU|E4676|AIQ|20140508202901|BEU-30|||//7/17/2014 1:11:52 AM
CAD_U|CABEU|E4676|AIQ|20140508202901|BEU-30|||//7/17/2014 1:11:53 AM
CAD_U|CABEU|E4677|AIQ|20140706100229|BEU-30|||//7/17/2014 1:11:54 AM
CAD_U|CABEU|E4677|AIQ|20140706100229|BEU-30|||//7/17/2014 1:11:54 AM
CAD_U|CABEU|E4677|AIQ|20140706100229|BEU-30|||//7/17/2014 1:11:54 AM
CAD_U|CABEU|E4681|AIQ|20140512075831|BEU-30|||//7/17/2014 1:11:55 AM
CAD_U|CABEU|E4681|AIQ|20140512075831|BEU-30|||//7/17/2014 1:11:55 AM
CAD_U|CABEU|E4681|AIQ|20140512075831|BEU-30|||//7/17/2014 1:11:55 AM
CAD_U|CABEU|E4684|AIQ|20140711175412|BEU-35|||//7/17/2014 1:11:56 AM
CAD_U|CABEU|E4684|AIQ|20140711175412|BEU-35|||//7/17/2014 1:11:56 AM
CAD_U|CABEU|E4685|AIQ|20140605061458|BEU-30|||//7/17/2014 1:11:57 AM
CAD_U|CABEU|E4685|AIQ|20140605061458|BEU-30|||//7/17/2014 1:11:57 AM
CAD_U|CABEU|E4685|AIQ|20140605061458|BEU-30|||//7/17/2014 1:11:57 AM
CAD_U|CABEU|E4686|AIQ|20140617174003|BEU-30|||//7/17/2014 1:11:58 AM
CAD_U|CABEU|E4686|AIQ|20140617174003|BEU-30|||//7/17/2014 1:11:58 AM
CAD_U|CABEU|E4686|AIQ|20140617174003|BEU-30|||//7/17/2014 1:11:58 AM
CAD_U|CABEU|E4691|AIQ|20140513064108|BEU-30|||//7/17/2014 1:11:59 AM
CAD_U|CABEU|E4691|AIQ|20140513064108|BEU-30|||//7/17/2014 1:11:59 AM
CAD_U|CABEU|E4691|AIQ|20140513064108|BEU-30|||//7/17/2014 1:11:59 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:00 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:00 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:00 AM
CAD_U|CABEU|E4694|AIQ|20140711175412|BEU-30|||//7/17/2014 1:12:02 AM
CAD_U|CABEU|E4694|AIQ|20140711175412|BEU-30|||//7/17/2014 1:12:02 AM
CAD_U|CABEU|E4694|AIQ|20140711175412|BEU-30|||//7/17/2014 1:12:02 AM
CAD_U|CABEU|E4699|AIQ|20140716193426|BEU-30|||//7/17/2014 1:12:03 AM
CAD_U|CABEU|E4699|AIQ|20140716193426|BEU-30|||//7/17/2014 1:12:03 AM
CAD_U|CABEU|E4699|AIQ|20140716193426|BEU-30|||//7/17/2014 1:12:03 AM
CAD_U|CABEU|GAB2|AIQ|20140710173021|BEU-30|||//7/17/2014 1:12:04 AM
CAD_U|CABEU|GAB2|AIQ|20140710173021|BEU-30|||//7/17/2014 1:12:04 AM
CAD_U|CABEU|GAB2|AIQ|20140710173021|BEU-30|||//7/17/2014 1:12:04 AM
CAD_U|CABEU|GAB3|AIQ|20140715073144|BEU-30|||//7/17/2014 1:12:05 AM
CAD_U|CABEU|GAB3|AIQ|20140715073144|BEU-30|||//7/17/2014 1:12:05 AM
CAD_U|CABEU|GAB3|AIQ|20140715073144|BEU-30|||//7/17/2014 1:12:05 AM
CAD_U|CABEU|GAB4|AIQ|20140711073307|BEU-30|||//7/17/2014 1:12:06 AM
CAD_U|CABEU|GAB4|AIQ|20140711073307|BEU-30|||//7/17/2014 1:12:06 AM
CAD_U|CABEU|GAB4|AIQ|20140711073307|BEU-30|||//7/17/2014 1:12:06 AM
CAD_U|CABEU|GAB6|AIQ|20140715075136|BEU-30|||//7/17/2014 1:12:07 AM
CAD_U|CABEU|GAB6|AIQ|20140715075136|BEU-30|||//7/17/2014 1:12:07 AM
CAD_U|CABEU|GAB6|AIQ|20140715075136|BEU-30|||//7/17/2014 1:12:07 AM
CAD_U|CABEU|HLT406|AIQ|20140511072331|BEU-30|||//7/17/2014 1:12:08 AM
CAD_U|CABEU|HLT406|AIQ|20140511072331|BEU-30|||//7/17/2014 1:12:08 AM
CAD_U|CABEU|HLT406|AIQ|20140511072331|BEU-30|||//7/17/2014 1:12:08 AM
CAD_U|CACDF|T80|AIQ|20140703141133|HAAB|||//7/17/2014 1:12:10 AM
CAD_U|CACDF|T80|AIQ|20140703141133|HAAB|||//7/17/2014 1:12:10 AM
CAD_U|CACDF|T80|AIQ|20140703141133|HAAB|||//7/17/2014 1:12:10 AM
CAD_U|CACDF|T81|AIQ|20140707173322|HAAB|||//7/17/2014 1:12:11 AM
CAD_U|CACDF|T81|AIQ|20140707173322|HAAB|||//7/17/2014 1:12:11 AM
CAD_U|CACDF|T81|AIQ|20140707173322|HAAB|||//7/17/2014 1:12:11 AM
CAD_U|USPVT|DPIT|AIQ|20140714121812|FKU-1A|||//7/17/2014 1:12:12 AM
CAD_U|USPVT|DPIT|AIQ|20140714121812|FKU-1A|||//7/17/2014 1:12:12 AM
CAD_U|USPVT|DPIT|AIQ|20140714121812|FKU-1A|||//7/17/2014 1:12:12 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//7/17/2014 1:12:13 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//7/17/2014 1:12:13 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//7/17/2014 1:12:13 AM
CAD_U|CAFKU|E4353|AIQ|20140512071130|FKU-2|||//7/17/2014 1:12:14 AM
CAD_U|CAFKU|E4353|AIQ|20140512071130|FKU-2|||//7/17/2014 1:12:14 AM
CAD_U|CAFKU|E4353|AIQ|20140512071130|FKU-2|||//7/17/2014 1:12:14 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//7/17/2014 1:12:16 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//7/17/2014 1:12:16 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//7/17/2014 1:12:16 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//7/17/2014 1:12:17 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//7/17/2014 1:12:17 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//7/17/2014 1:12:17 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//7/17/2014 1:12:18 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//7/17/2014 1:12:18 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//7/17/2014 1:12:18 AM
CAD_U|CAFKU|E4364|AIQ|20140512071100|FKU-1A|||//7/17/2014 1:12:19 AM
CAD_U|CAFKU|E4364|AIQ|20140512071100|FKU-1A|||//7/17/2014 1:12:19 AM
CAD_U|CAFKU|E4368|AIQ|20140512071138|FKU-2|||//7/17/2014 1:12:20 AM
CAD_U|CAFKU|E4368|AIQ|20140512071138|FKU-2|||//7/17/2014 1:12:20 AM
CAD_U|CAFKU|E4368|AIQ|20140512071138|FKU-2|||//7/17/2014 1:12:20 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:12:22 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:12:22 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:12:22 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//7/17/2014 1:12:23 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//7/17/2014 1:12:23 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//7/17/2014 1:12:23 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//7/17/2014 1:12:24 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//7/17/2014 1:12:24 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//7/17/2014 1:12:24 AM
CAD_U|CAFKU|E4382|AIQ|20140512071139|FKU-2|||//7/17/2014 1:12:25 AM
CAD_U|CAFKU|E4382|AIQ|20140512071139|FKU-2|||//7/17/2014 1:12:25 AM
CAD_U|CAFKU|E4382|AIQ|20140512071139|FKU-2|||//7/17/2014 1:12:25 AM
CAD_U|CAFKU|E4383|AIQ|20140504084757|FKU-1A|||//7/17/2014 1:12:26 AM
CAD_U|CAFKU|E4383|AIQ|20140504084757|FKU-1A|||//7/17/2014 1:12:26 AM
CAD_U|CAFKU|E4383|AIQ|20140504084757|FKU-1A|||//7/17/2014 1:12:26 AM
CAD_U|CAFKU|MIR1|AIQ|20140622082613|FKU-2|||//7/17/2014 1:12:28 AM
CAD_U|CAFKU|MIR1|AIQ|20140622082613|FKU-2|||//7/17/2014 1:12:28 AM
CAD_U|CAFKU|MIR1|AIQ|20140622082613|FKU-2|||//7/17/2014 1:12:28 AM
CAD_U|CAFKU|MIR2|AIQ|20140630071908|FKU-2|||//7/17/2014 1:12:29 AM
CAD_U|CAFKU|MIR2|AIQ|20140630071908|FKU-2|||//7/17/2014 1:12:29 AM
CAD_U|CAFKU|MIR2|AIQ|20140630071908|FKU-2|||//7/17/2014 1:12:29 AM
CAD_U|CAFKU|MIR3|AIQ|20140630071909|FKU-1A|||//7/17/2014 1:12:30 AM
CAD_U|CAFKU|MIR3|AIQ|20140630071909|FKU-1A|||//7/17/2014 1:12:30 AM
CAD_U|CAFKU|MIR3|AIQ|20140630071909|FKU-1A|||//7/17/2014 1:12:30 AM
CAD_U|CAFKU|MIR4|AIQ|20140623082515|FKU-2|||//7/17/2014 1:12:31 AM
CAD_U|CAFKU|MIR4|AIQ|20140623082515|FKU-2|||//7/17/2014 1:12:31 AM
CAD_U|CAFKU|MIR4|AIQ|20140623082515|FKU-2|||//7/17/2014 1:12:31 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:36 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:36 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:12:36 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:33:52 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:33:52 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:33:52 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|OOA|OTH, ASSIST|-120.640365|35.144249|266 ENCANTO||||714_C_2/714_C_2||-120.640597|35.144071||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//7/17/2014 1:49:52 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|OOA|OTH, ASSIST|-120.640365|35.144249|266 ENCANTO||||714_C_2/714_C_2||-120.640597|35.144071||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//7/17/2014 1:49:53 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|OOA|OTH, ASSIST|-120.640365|35.144249|266 ENCANTO||||714_C_2/714_C_2||-120.640597|35.144071||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//7/17/2014 1:49:58 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|OOA|OTH, ASSIST|-120.640365|35.144249|266 ENCANTO||||714_C_2/714_C_2||-120.640597|35.144071||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//7/17/2014 1:49:58 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|OOA|OTH, ASSIST|-120.640365|35.144249|266 ENCANTO||||714_C_2/714_C_2||-120.640597|35.144071||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//7/17/2014 1:50:06 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:08 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:09 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:09 AM
CAD_E|CAPSM14008912|CASLU|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:10 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:14 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:14 AM
CAD_U|CASLU|E3470|DSP|20140717015014|A-32L|14008912|MED|CASLU2014006366//7/17/2014 1:50:14 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:18 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:20 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:35 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:35 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:35 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:38 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:50:38 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:00 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:00 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:00 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:18 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:18 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:51:53 AM
CAD_U|CASLU|E3470|ACK|20140717015153|A-32L|14008912|MED|CASLU2014006366//7/17/2014 1:51:53 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:52:44 AM
CAD_E|CAPSM14008912|CASLU2014006366|MA|20140717014831|MED|MEDICAL AID CODE 3|-120.700946|35.174295|266 ENCANTO AVE ||299 BLK EL DORADO WAY| PLAYA PL|714_C_2/714_C_2||||E3470|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:52:44 AM
