CAD_E|CAPSM11010571//11/21/2011 12:04:10 AM
CAD_U|CAPSM|E64|AIQ|20111121000416|A-32M|||//11/21/2011 12:04:10 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:09:13 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:09:13 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:09:13 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/21/2011 12:09:14 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/21/2011 12:09:14 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:15 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:15 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:15 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:09:16 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:09:16 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:09:16 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:09:17 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:09:17 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:09:17 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:09:19 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:09:19 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:09:19 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:09:20 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:09:20 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:09:20 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:09:21 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:09:21 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:09:21 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:09:22 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:09:22 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:09:22 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/21/2011 12:09:23 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/21/2011 12:09:23 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:09:24 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:09:24 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:09:24 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:09:25 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:09:25 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:09:25 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:09:26 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:09:26 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:09:26 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:09:28 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:09:28 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:09:28 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:09:29 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:09:29 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:09:29 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/21/2011 12:09:30 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/21/2011 12:09:30 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/21/2011 12:09:31 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/21/2011 12:09:31 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:09:32 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:09:32 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:09:32 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/21/2011 12:09:33 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/21/2011 12:09:33 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:09:34 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:09:34 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:09:34 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:09:35 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:09:35 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:09:35 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:36 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:36 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:09:38 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:09:38 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:09:38 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:09:39 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:09:39 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:09:39 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:09:40 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:09:40 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:09:40 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:41 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:41 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/21/2011 12:09:42 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/21/2011 12:09:42 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/21/2011 12:09:42 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/21/2011 12:09:43 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/21/2011 12:09:43 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/21/2011 12:09:43 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/21/2011 12:09:44 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/21/2011 12:09:44 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/21/2011 12:09:44 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:45 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:45 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:09:45 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/21/2011 12:09:46 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/21/2011 12:09:46 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/21/2011 12:09:46 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/21/2011 12:09:48 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/21/2011 12:09:48 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/21/2011 12:09:48 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/21/2011 12:09:49 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/21/2011 12:09:49 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/21/2011 12:09:49 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/21/2011 12:09:50 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/21/2011 12:09:50 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/21/2011 12:09:50 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/21/2011 12:09:51 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/21/2011 12:09:51 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/21/2011 12:09:51 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/21/2011 12:09:52 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/21/2011 12:09:52 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/21/2011 12:09:52 AM
CAD_U|CACDF|C406|AIQ|20111110113025|BVHB|||//11/21/2011 12:47:58 AM
CAD_U|CACDF|C406|AIQ|20111110113025|BVHB|||//11/21/2011 12:47:58 AM
CAD_U|CACDF|C406|AIQ|20111110113025|BVHB|||//11/21/2011 12:47:58 AM
CAD_U|CABEU|D4641|AIQ|20111114073616|BEU-30|||//11/21/2011 12:47:59 AM
CAD_U|CABEU|D4641|AIQ|20111114073616|BEU-30|||//11/21/2011 12:47:59 AM
CAD_U|CABEU|D4641|AIQ|20111114073616|BEU-30|||//11/21/2011 12:47:59 AM
CAD_U|CABEU|D4643|AIQ|20111114073619|BEU-30|||//11/21/2011 12:48:03 AM
CAD_U|CABEU|D4643|AIQ|20111114073619|BEU-30|||//11/21/2011 12:48:03 AM
CAD_U|CABEU|D4643|AIQ|20111114073619|BEU-30|||//11/21/2011 12:48:03 AM
CAD_U|CABEU|D4645|AIQ|20111118095944|BEU-30|||//11/21/2011 12:48:04 AM
CAD_U|CABEU|D4645|AIQ|20111118095944|BEU-30|||//11/21/2011 12:48:04 AM
CAD_U|CABEU|D4645|AIQ|20111118095944|BEU-30|||//11/21/2011 12:48:04 AM
CAD_U|CABEU|E4656|AIQ|20111120135554|BEU-30|||//11/21/2011 12:48:05 AM
CAD_U|CABEU|E4656|AIQ|20111120135554|BEU-30|||//11/21/2011 12:48:05 AM
CAD_U|CABEU|E4656|AIQ|20111120135554|BEU-30|||//11/21/2011 12:48:05 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/21/2011 12:48:06 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/21/2011 12:48:06 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/21/2011 12:48:06 AM
CAD_U|CABEU|E4693|AIQ|20111114074114|BEU-30|||//11/21/2011 12:48:07 AM
CAD_U|CABEU|E4693|AIQ|20111114074114|BEU-30|||//11/21/2011 12:48:07 AM
CAD_U|CABEU|E4693|AIQ|20111114074114|BEU-30|||//11/21/2011 12:48:07 AM
CAD_U|CABEU|GAB3|AIQ|20111114072950|BEU-30|||//11/21/2011 12:48:08 AM
CAD_U|CABEU|GAB3|AIQ|20111114072950|BEU-30|||//11/21/2011 12:48:08 AM
CAD_U|CABEU|GAB3|AIQ|20111114072950|BEU-30|||//11/21/2011 12:48:08 AM
CAD_U|CABEU|GAB6|AIQ|20111118065017|BEU-30|||//11/21/2011 12:48:09 AM
CAD_U|CABEU|GAB6|AIQ|20111118065017|BEU-30|||//11/21/2011 12:48:09 AM
CAD_U|CABEU|GAB6|AIQ|20111118065017|BEU-30|||//11/21/2011 12:48:09 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/21/2011 12:48:11 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/21/2011 12:48:11 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/21/2011 12:48:11 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/21/2011 12:48:12 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/21/2011 12:48:12 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/21/2011 12:48:12 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/21/2011 12:48:13 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/21/2011 12:48:13 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/21/2011 12:48:13 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/21/2011 12:48:14 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/21/2011 12:48:14 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/21/2011 12:48:14 AM
CAD_U|CAFKU|MIR4|AIQ|20111114082308|FKU-2|||//11/21/2011 12:48:15 AM
CAD_U|CAFKU|MIR4|AIQ|20111114082308|FKU-2|||//11/21/2011 12:48:15 AM
CAD_U|CAFKU|MIR4|AIQ|20111114082308|FKU-2|||//11/21/2011 12:48:15 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:59:00 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:59:00 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:59:00 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/21/2011 12:59:01 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/21/2011 12:59:01 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:59:02 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:59:02 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:59:02 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:59:03 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:59:03 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:59:03 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:59:04 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:59:04 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:59:04 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:59:05 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:59:05 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/21/2011 12:59:05 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/21/2011 12:59:06 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/21/2011 12:59:07 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:59:08 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:59:08 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/21/2011 12:59:08 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:59:09 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:59:09 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:59:09 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:59:10 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:59:10 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:59:10 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:59:11 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:59:11 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:59:11 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/21/2011 12:59:12 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/21/2011 12:59:12 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:13 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:13 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:13 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:59:14 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:59:14 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:59:14 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:59:16 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:59:16 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/21/2011 12:59:16 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/21/2011 12:59:17 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/21/2011 12:59:17 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:18 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:18 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/21/2011 12:59:18 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:59:19 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:59:19 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/21/2011 12:59:19 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:59:20 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:59:20 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/21/2011 12:59:20 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:59:21 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:59:21 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/21/2011 12:59:21 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:59:22 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:59:22 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/21/2011 12:59:22 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:59:23 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:59:23 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/21/2011 12:59:23 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:59:24 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:59:24 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/21/2011 12:59:25 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/21/2011 12:59:26 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/21/2011 12:59:26 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:59:27 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:59:27 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/21/2011 12:59:27 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:59:28 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:59:28 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/21/2011 12:59:28 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:59:29 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:59:29 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/21/2011 12:59:29 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:59:30 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:59:30 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/21/2011 12:59:30 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:59:31 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:59:31 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/21/2011 12:59:31 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/21/2011 12:59:32 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/21/2011 12:59:32 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/21/2011 12:59:33 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/21/2011 12:59:33 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:59:35 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:59:35 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/21/2011 12:59:35 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:59:36 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/21/2011 12:59:36 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:59:37 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:59:37 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/21/2011 12:59:37 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:59:38 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:59:38 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/21/2011 12:59:38 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:59:39 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:59:39 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/21/2011 12:59:39 AM
