CAD_E|CASLC11010192//11/8/2011 12:07:27 AM
CAD_U|CASLC|ME22|AIQ|20111108000731|N-3A|||//11/8/2011 12:07:27 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 12:18:27 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 12:18:27 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 12:18:28 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 12:18:28 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 12:18:28 AM
CAD_U|CABEU|GAB3|AIQ|20111107073408|BEU-30|||//11/8/2011 12:18:29 AM
CAD_U|CABEU|GAB3|AIQ|20111107073408|BEU-30|||//11/8/2011 12:18:29 AM
CAD_U|CABEU|GAB3|AIQ|20111107073408|BEU-30|||//11/8/2011 12:18:29 AM
CAD_U|CABEU|GAB4|AIQ|20111107073453|BEU-30|||//11/8/2011 12:18:30 AM
CAD_U|CABEU|GAB4|AIQ|20111107073453|BEU-30|||//11/8/2011 12:18:30 AM
CAD_U|CABEU|GAB4|AIQ|20111107073453|BEU-30|||//11/8/2011 12:18:30 AM
CAD_U|CABEU|GAB5|AIQ|20111107073525|BEU-30|||//11/8/2011 12:18:31 AM
CAD_U|CABEU|GAB5|AIQ|20111107073525|BEU-30|||//11/8/2011 12:18:31 AM
CAD_U|CABEU|GAB5|AIQ|20111107073525|BEU-30|||//11/8/2011 12:18:31 AM
CAD_U|CABEU|GAB6|AIQ|20111107073612|BEU-30|||//11/8/2011 12:18:32 AM
CAD_U|CABEU|GAB6|AIQ|20111107073612|BEU-30|||//11/8/2011 12:18:32 AM
CAD_U|CABEU|GAB6|AIQ|20111107073612|BEU-30|||//11/8/2011 12:18:32 AM
CAD_U|CABEU|HLT406|AIQ|20110623115130|BEU-30|||//11/8/2011 12:18:34 AM
CAD_U|CABEU|HLT406|AIQ|20110623115130|BEU-30|||//11/8/2011 12:18:34 AM
CAD_U|CABEU|HLT406|AIQ|20110623115130|BEU-30|||//11/8/2011 12:18:34 AM
CAD_U|CAFKU|D4340|AIQ|20110828161740|FKU-1A|||//11/8/2011 12:18:35 AM
CAD_U|CAFKU|D4340|AIQ|20110828161740|FKU-1A|||//11/8/2011 12:18:35 AM
CAD_U|CAFKU|D4340|AIQ|20110828161740|FKU-1A|||//11/8/2011 12:18:35 AM
CAD_U|CAFKU|D4341|AIQ|20111022081928|FKU-1A|||//11/8/2011 12:18:36 AM
CAD_U|CAFKU|D4341|AIQ|20111022081928|FKU-1A|||//11/8/2011 12:18:36 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/8/2011 12:18:37 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/8/2011 12:18:37 AM
CAD_U|CAFKU|E4352|AIQ|20110916110916|FKU-2|||//11/8/2011 12:18:37 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/8/2011 12:18:38 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/8/2011 12:18:38 AM
CAD_U|CAFKU|E4353|AIQ|20111101075523|FKU-2|||//11/8/2011 12:18:38 AM
CAD_U|CAFKU|E4354|AIQ|20110923225504|FKU-1A|||//11/8/2011 12:18:39 AM
CAD_U|CAFKU|E4354|AIQ|20110923225504|FKU-1A|||//11/8/2011 12:18:39 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/8/2011 12:18:40 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/8/2011 12:18:40 AM
CAD_U|CAFKU|E4383|AIQ|20111106105250|FKU-1A|||//11/8/2011 12:18:40 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/8/2011 12:18:41 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/8/2011 12:18:41 AM
CAD_U|CAFKU|E4391|AIQ|20111028104413|FKU-2|||//11/8/2011 12:18:41 AM
CAD_U|CAFKU|MIR1|AIQ|20111107084550|FKU-2|||//11/8/2011 12:18:42 AM
CAD_U|CAFKU|MIR1|AIQ|20111107084550|FKU-2|||//11/8/2011 12:18:42 AM
CAD_U|CAFKU|MIR1|AIQ|20111107084550|FKU-2|||//11/8/2011 12:18:42 AM
CAD_U|CAFKU|MIR2|AIQ|20111010081823|FKU-2|||//11/8/2011 12:18:43 AM
CAD_U|CAFKU|MIR2|AIQ|20111010081823|FKU-2|||//11/8/2011 12:18:44 AM
CAD_U|CAFKU|MIR2|AIQ|20111010081823|FKU-2|||//11/8/2011 12:18:44 AM
CAD_U|CAFKU|MIR3|AIQ|20111031083418|FKU-1A|||//11/8/2011 12:18:45 AM
CAD_U|CAFKU|MIR3|AIQ|20111031083418|FKU-1A|||//11/8/2011 12:18:45 AM
CAD_U|CAFKU|MIR3|AIQ|20111031083418|FKU-1A|||//11/8/2011 12:18:45 AM
CAD_U|CAFKU|MIR4|AIQ|20111107084652|FKU-2|||//11/8/2011 12:18:46 AM
CAD_U|CAFKU|MIR4|AIQ|20111107084652|FKU-2|||//11/8/2011 12:18:46 AM
CAD_U|CAFKU|MIR4|AIQ|20111107084652|FKU-2|||//11/8/2011 12:18:46 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/8/2011 12:29:04 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/8/2011 12:29:04 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/8/2011 12:29:05 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/8/2011 12:29:05 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/8/2011 12:29:05 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/8/2011 12:29:06 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/8/2011 12:29:06 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//11/8/2011 12:29:06 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/8/2011 12:29:07 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//11/8/2011 12:29:07 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/8/2011 12:29:08 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/8/2011 12:29:08 AM
CAD_U|CAFKU|E4352|AIQ|20111005134515|FKU-2|||//11/8/2011 12:29:08 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/8/2011 12:29:09 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/8/2011 12:29:09 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//11/8/2011 12:29:09 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:10 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:10 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/8/2011 12:29:11 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/8/2011 12:29:11 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//11/8/2011 12:29:11 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/8/2011 12:29:13 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/8/2011 12:29:13 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/8/2011 12:29:13 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/8/2011 12:29:14 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/8/2011 12:29:14 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/8/2011 12:29:14 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/8/2011 12:29:15 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/8/2011 12:29:15 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/8/2011 12:29:15 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/8/2011 12:29:16 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/8/2011 12:29:16 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/8/2011 12:29:16 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/8/2011 12:29:17 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/8/2011 12:29:17 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/8/2011 12:29:17 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/8/2011 12:29:18 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/8/2011 12:29:18 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/8/2011 12:29:18 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/8/2011 12:29:19 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/8/2011 12:29:19 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:20 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:20 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:20 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/8/2011 12:29:22 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/8/2011 12:29:22 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/8/2011 12:29:22 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/8/2011 12:29:23 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/8/2011 12:29:23 AM
CAD_U|CABEU|E4673|AIQ|20110704113147|BEU-30|||//11/8/2011 12:29:23 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/8/2011 12:29:24 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//11/8/2011 12:29:24 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:25 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:25 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//11/8/2011 12:29:25 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/8/2011 12:29:26 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/8/2011 12:29:26 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//11/8/2011 12:29:26 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/8/2011 12:29:27 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/8/2011 12:29:27 AM
CAD_U|CABEU|E4679|AIQ|20110628164019|BEU-30|||//11/8/2011 12:29:27 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/8/2011 12:29:28 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/8/2011 12:29:28 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//11/8/2011 12:29:28 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/8/2011 12:29:29 AM
CAD_U|CABEU|E4684|AIQ|20111028162418|BEU-35|||//11/8/2011 12:29:29 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/8/2011 12:29:30 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/8/2011 12:29:30 AM
CAD_U|CABEU|E4691|AIQ|20110628164022|BEU-30|||//11/8/2011 12:29:30 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/8/2011 12:29:32 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/8/2011 12:29:32 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//11/8/2011 12:29:32 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/8/2011 12:29:33 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//11/8/2011 12:29:33 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/8/2011 12:29:34 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/8/2011 12:29:34 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//11/8/2011 12:29:34 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/8/2011 12:29:35 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/8/2011 12:29:35 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//11/8/2011 12:29:35 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/8/2011 12:29:36 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/8/2011 12:29:36 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//11/8/2011 12:29:36 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/8/2011 12:29:37 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/8/2011 12:29:37 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//11/8/2011 12:29:37 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/8/2011 12:29:38 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/8/2011 12:29:38 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//11/8/2011 12:29:38 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/8/2011 12:29:39 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//11/8/2011 12:29:39 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/8/2011 12:29:40 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//11/8/2011 12:29:40 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/8/2011 12:29:42 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/8/2011 12:29:42 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//11/8/2011 12:29:42 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/8/2011 12:29:43 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/8/2011 12:29:43 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//11/8/2011 12:29:43 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:44 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:44 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/8/2011 12:29:45 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/8/2011 12:29:45 AM
CAD_U|CAFKU|E4368|AIQ|20110718132023|FKU-2|||//11/8/2011 12:29:45 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/8/2011 12:29:46 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/8/2011 12:29:46 AM
CAD_U|CAFKU|E4373|AIQ|20110727140735|FKU-2|||//11/8/2011 12:29:46 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/8/2011 12:29:47 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/8/2011 12:29:47 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//11/8/2011 12:29:47 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:48 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:48 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//11/8/2011 12:29:48 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/8/2011 12:29:49 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/8/2011 12:29:49 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//11/8/2011 12:29:49 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/8/2011 12:29:50 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/8/2011 12:29:50 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//11/8/2011 12:29:50 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/8/2011 12:29:52 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/8/2011 12:29:52 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//11/8/2011 12:29:52 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/8/2011 12:29:53 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/8/2011 12:29:53 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//11/8/2011 12:29:53 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/8/2011 12:29:54 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/8/2011 12:29:54 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//11/8/2011 12:29:54 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/8/2011 12:29:55 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/8/2011 12:29:55 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//11/8/2011 12:29:55 AM
CAD_E|CASLU11010181//11/8/2011 12:56:55 AM
CAD_U|CACDF|C406|AIQ|20110906155506|BVHB|||//11/8/2011 1:08:26 AM
CAD_U|CACDF|C406|AIQ|20110906155506|BVHB|||//11/8/2011 1:08:26 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 1:08:27 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 1:08:27 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 1:08:27 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 1:08:28 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 1:08:28 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 1:08:29 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 1:08:30 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 1:08:30 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 1:08:30 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 1:08:31 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 1:08:31 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 1:08:31 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 1:08:32 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 1:08:32 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 1:08:32 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 1:08:33 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 1:08:33 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 1:08:33 AM
CAD_U|CABEU|E4664|AIQ|20110914102104|BEU-31|||//11/8/2011 1:08:34 AM
CAD_U|CABEU|E4664|AIQ|20110914102104|BEU-31|||//11/8/2011 1:08:34 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 1:08:35 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 1:08:35 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 1:08:35 AM
CAD_U|CABEU|E4674|AIQ|20110904204426|BEU-30|||//11/8/2011 1:08:36 AM
CAD_U|CABEU|E4674|AIQ|20110904204426|BEU-30|||//11/8/2011 1:08:36 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 1:08:37 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 1:08:37 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 1:08:37 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 1:08:39 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 1:08:39 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 1:08:39 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 1:08:40 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 1:08:40 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 1:08:40 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 1:08:41 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 1:08:41 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 1:08:41 AM
CAD_U|CABEU|E4694|AIQ|20111030141517|BEU-30|||//11/8/2011 1:08:42 AM
CAD_U|CABEU|E4694|AIQ|20111030141517|BEU-30|||//11/8/2011 1:08:42 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 1:08:43 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 1:08:43 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 1:08:43 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 1:08:44 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 1:08:44 AM
CAD_U|CABEU|GAB2|AIQ|20111017073244|BEU-30|||//11/8/2011 1:08:44 AM
CAD_U|CABEU|GAB3|AIQ|20111107073408|BEU-30|||//11/8/2011 1:08:45 AM
CAD_U|CABEU|GAB3|AIQ|20111107073408|BEU-30|||//11/8/2011 1:08:45 AM
