CAD_E|CASLU15003291|CASLU2015002314|NEAL|20150307223549|FVP|FIRE, VEH PASSENGER|-120.668354|35.561882|2100 NEAL SPRING RD / 2000 EL POMAR DR |SLO_CO|||533_J_7|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/8/2015 12:00:02 AM
CAD_E|CASLU15003291|CASLU2015002314|NEAL|20150307223549|FVP|FIRE, VEH PASSENGER|-120.668354|35.561882|2100 NEAL SPRING RD / 2000 EL POMAR DR |SLO_CO|||533_J_7|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/8/2015 12:00:02 AM
CAD_U|CASLC|E30|AOR|20150308000002|R-17A|||//3/8/2015 12:00:02 AM
CAD_U|CABEU|E4677|AIQ|20150123165645|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4693|AIQ|20150209092707|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4693|AIQ|20150209092707|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4694|AIQ|20150211132620|BEU-19|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4694|AIQ|20150211132620|BEU-19|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4693|AIQ|20150209092707|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CAFKU|E4353|AIQ|20150225113327|FKU-2|||//3/8/2015 12:40:12 AM
CAD_U|CAFKU|E4353|AIQ|20150225113327|FKU-2|||//3/8/2015 12:40:12 AM
CAD_U|CAFKU|E4354|AIQ|20150227180806|FKU-1A|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4354|AIQ|20150227180806|FKU-1A|||//3/8/2015 12:40:13 AM
CAD_U|CABEU|GAB3|AIQ|20150306072916|BEU-30|||//3/8/2015 12:40:13 AM
CAD_U|CABEU|GAB3|AIQ|20150306072916|BEU-30|||//3/8/2015 12:40:13 AM
CAD_U|CABEU|GAB3|AIQ|20150306072916|BEU-30|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4363|AIQ|20150227114737|FKU-2|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4363|AIQ|20150227114737|FKU-2|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4363|AIQ|20150227114737|FKU-2|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4368|AIQ|20150222081126|FKU-2|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4368|AIQ|20150222081126|FKU-2|||//3/8/2015 12:40:13 AM
CAD_U|CAFKU|E4373|AIQ|20150220083211|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|E4373|AIQ|20150220083211|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|E4373|AIQ|20150220083211|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|E4382|AIQ|20150206203210|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|E4382|AIQ|20150206203210|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|E4382|AIQ|20150206203210|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|MIR4|AIQ|20150305080705|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|MIR4|AIQ|20150305080705|FKU-2|||//3/8/2015 12:40:14 AM
CAD_U|CAFKU|MIR4|AIQ|20150305080705|FKU-2|||//3/8/2015 12:40:14 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:41:04 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:41:04 AM
CAD_U|CASLC|E33|AIQ|20150308004104|H-6A|||//3/8/2015 12:41:04 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:56:14 AM
CAD_E|CASLU15003294//3/8/2015 12:56:17 AM
CAD_E|CASLC15003292|CASLU2015002315|ADELAIDA|20150307224527|MTC|MED, TRAFFIC COLLISION|-120.721514|35.649503|1700 ADELAIDA RD WO   ARDANA DR ||||633_B_5/633_B_5||||E3462|Command:XSL CMD 4;Pri Tactical:CALCORD;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:56:24 AM
CAD_U|CASLU|E3462|RTQ|20150308005624|R-17A|15003292|MTC|CASLU2015002315//3/8/2015 12:56:24 AM
CAD_E|CASLU15003294//3/8/2015 12:56:33 AM
CAD_U|CASLC|AIRPMGR|AIQ|20150103155209|A-22B|||//3/8/2015 1:00:04 AM
CAD_U|CASLU|AMB-X1|AIQ|20150302090546|A-36J|||//3/8/2015 1:00:05 AM
CAD_U|CASLU|AMB-X2|AIQ|20150107092124|A-36J|||//3/8/2015 1:00:06 AM
CAD_U|CASBY|B15|AIQ|20150209083155|B-15A||OUT|//3/8/2015 1:00:07 AM
CAD_U|CASLC|B21|AIQ|20140816183405|A-22A|||//3/8/2015 1:00:08 AM
CAD_U|CASLC|B33|AIQ|20150223210256|NACI1A|||//3/8/2015 1:00:09 AM
CAD_U|CASLU|B3414|AIQ|20150307201304|K-11B|||//3/8/2015 1:00:10 AM
CAD_U|CASLU|B3415|AIQ|20150307175836|JAUREG|||//3/8/2015 1:00:11 AM
CAD_U|CASLU|B3416|AIQ|20150307182007|LEE|||//3/8/2015 1:00:12 AM
CAD_U|CAMBHP|B381|AIQ|20150124162532|B-11D|||//3/8/2015 1:00:13 AM
CAD_U|CAMBHP|B3864|AIQ|20150124165255|B-11D|||//3/8/2015 1:00:14 AM
CAD_U|CACMB|B57|AIQ|20150206152819|G-16B|||//3/8/2015 1:00:15 AM
CAD_U|CASLC|B62|AIQ|20150228112109|A-24C|||//3/8/2015 1:00:16 AM
CAD_U|CAPSM|B64|AIQ|20150228112301|A-32M|||//3/8/2015 1:00:17 AM
CAD_U|CALPF|BLPF|AIQ|20140809131536|166-K|||//3/8/2015 1:00:19 AM
CAD_U|CABOB|BOBPAGE|AIQ|20150306152700|CR-18A|||//3/8/2015 1:00:20 AM
CAD_U|CASLC|BS62|AIQ|20150307043154|A-24C|||//3/8/2015 1:00:21 AM
CAD_U|CATEM|BS7145|AIQ|20150216164947|T-5B|||//3/8/2015 1:00:22 AM
CAD_U|CASBC|BSBC|AIQ|20150224095529|SBC-24|||//3/8/2015 1:00:23 AM
CAD_U|CASLO|BSLO|AIQ|20150214154201|A-16D|||//3/8/2015 1:00:24 AM
CAD_U|CASBC|C308|AIQ|20121112134807|SYHB|||//3/8/2015 1:00:25 AM
CAD_U|CASBC|C309|AIQ|20120510195034|SYHB|||//3/8/2015 1:00:26 AM
CAD_U|CAMBHP|C3800|AIQ|20150124162532|B-11D|||//3/8/2015 1:00:27 AM
CAD_U|CACHP|C70|AIQ|20150302203547|R-8C|||//3/8/2015 1:00:28 AM
CAD_U|CASLU|CAM21|AIQ|20150303222344|VNT|||//3/8/2015 1:00:29 AM
CAD_U|CASLU|CAM22|AIQ|20150303222344|VNT|||//3/8/2015 1:00:30 AM
CAD_U|CACAY|CCAY|AIQ|20150128120940|B-7B|||//3/8/2015 1:00:31 AM
CAD_U|CACMB|CCMB|AIQ|20150216160720|G-16B|||//3/8/2015 1:00:32 AM
CAD_U|CATEM|CHAPLAIN|AIQ|20150116193800|T-5B|||//3/8/2015 1:00:33 AM
CAD_U|CAHCF|CHCF|AIQ|20110602174957|G-10A|||//3/8/2015 1:00:34 AM
CAD_U|CACMB|CMBRES|AIQ|20150304152340|G-16B|||//3/8/2015 1:00:35 AM
CAD_U|CASBY|CO15|AIQ|20150305144629|B-15A|||//3/8/2015 1:00:37 AM
CAD_U|CAMBHP|CO38|AIQ|20150219165639|B-11D|||//3/8/2015 1:00:38 AM
CAD_U|CAMRB|CO53|AIQ|20150305180509|B-11C|||//3/8/2015 1:00:39 AM
CAD_U|CASLC|COAST|AIQ|20150228111741|B-11B|||//3/8/2015 1:00:40 AM
CAD_U|CASLU|COM34|AIQ|20141112055150|A-36C|||//3/8/2015 1:00:41 AM
CAD_U|CASLU|COVER|AIQ|20140414162230|A-36A|||//3/8/2015 1:00:42 AM
CAD_U|CASLU|COVER11|AIQ|20150210172300|B-7A|||//3/8/2015 1:00:43 AM
CAD_U|CASBY|COVER15|AIQ|20150219131725|B-15A|||//3/8/2015 1:00:44 AM
CAD_U|CASLC|COVER21|AIQ|20150224185458|A-22A|||//3/8/2015 1:00:45 AM
CAD_U|CASLC|COVER22|AIQ|20150301145734|N-3A|||//3/8/2015 1:00:46 AM
CAD_U|CAMRB|COVER53|AIQ|20150302090032|B-11C|||//3/8/2015 1:00:47 AM
CAD_U|CACMB|COVER57|AIQ|20150216155935|G-16B|||//3/8/2015 1:00:48 AM
CAD_U|CAOCE|COVER61|AIQ|20150301145520|N-12D|||//3/8/2015 1:00:50 AM
CAD_U|CASLU|COVEROAK|AIQ|20150225220957|A-32K|||//3/8/2015 1:00:51 AM
CAD_U|CASLC|CR221|AIQ|20150306190203|A-22A|||//3/8/2015 1:00:52 AM
CAD_U|CASMF|CSMF|AIQ|20131221085236|R-4A|||//3/8/2015 1:00:53 AM
CAD_U|CASLU|CUE1|AIQ|20150306152552|A-10B|||//3/8/2015 1:00:54 AM
CAD_U|CASLU|CUE2|AIQ|20150306193133|A-10B|||//3/8/2015 1:00:55 AM
CAD_U|CASLU|CUE3|AIQ|20150306145631|A-10B|||//3/8/2015 1:00:56 AM
CAD_U|CASLU|CUE4|AIQ|20150305180956|A-10B|||//3/8/2015 1:00:57 AM
CAD_U|CASLU|CUE5|AIQ|20150306193245|A-10B|||//3/8/2015 1:00:58 AM
CAD_U|CASLU|D3404|AIQ|20150307055021|A-36H|||//3/8/2015 1:00:59 AM
CAD_U|CASLU|D3440|AIQ|20150307072516|A-36J|||//3/8/2015 1:01:00 AM
CAD_U|CASLU|D3441|AIQ|20150307072513|K-11C||OUT|//3/8/2015 1:01:02 AM
CAD_U|CASLU|D3442|AIQ|20150301132943|R-8B|||//3/8/2015 1:01:03 AM
CAD_U|CABEU|D4643|AIQ|20150226075243|BEU-30|||//3/8/2015 1:01:04 AM
CAD_U|CACMC|DCON1|AIQ|20150128014023|A-5B|||//3/8/2015 1:01:05 AM
CAD_U|CALPF|DLPF|AIQ|20140506180625|166-K|||//3/8/2015 1:01:06 AM
CAD_U|CASBC|DSBC3|AIQ|20141127023048|SBC-24|||//3/8/2015 1:01:07 AM
CAD_U|CASLU|DT3440|AIQ|20141122085312|A-36J|||//3/8/2015 1:01:08 AM
CAD_U|CASLU|DT3441|AIQ|20150202060352|K-11C|||//3/8/2015 1:01:09 AM
CAD_U|CASLU|DT3442|AOR|20141012181829|R-8B|||//3/8/2015 1:01:10 AM
CAD_U|CASLU|DUTYFC|AIQ|20150307001042|A-36C|||//3/8/2015 1:01:12 AM
CAD_U|CASLC|E10|AIQ|20150306195134|G-16A|||//3/8/2015 1:01:13 AM
CAD_U|CASLC|E12|AIQ|20150307125218|A-36B||OUT|//3/8/2015 1:01:14 AM
CAD_U|CASLC|E14|AIQ|20150305211804|B-10A|||//3/8/2015 1:01:15 AM
CAD_U|CASLC|E21|AIQ|20150307200320|A-22A|||//3/8/2015 1:01:16 AM
CAD_U|CASLC|E212|AIQ|20150304101647|A-36B||OUT|//3/8/2015 1:01:17 AM
CAD_U|CASLC|E22|AIQ|20150112194324|N-3A|||//3/8/2015 1:01:18 AM
CAD_U|CASLC|E230|AIQ|20150224190052|R-17A|||//3/8/2015 1:01:19 AM
CAD_U|CASLC|E262|AIQ|20150221130252|A-24C|||//3/8/2015 1:01:20 AM
CAD_U|CAPSM|E264|AIQ|20150221130244|A-32M||OUT|//3/8/2015 1:01:21 AM
CAD_U|CASLC|E30|AIQ|20150308000808|R-17A|||//3/8/2015 1:01:23 AM
CAD_U|CASLC|E33|AIQ|20150308004104|H-6A|||//3/8/2015 1:01:24 AM
CAD_U|CASLC|E34|AIQ|20150301123514|O-3A|||//3/8/2015 1:01:25 AM
CAD_U|CASLU|E3461|AIQ|20150305180944|D-15A|||//3/8/2015 1:01:26 AM
CAD_U|CASLU|E3465|AIQ|20150307082054|K-11A|||//3/8/2015 1:01:27 AM
CAD_U|CASLU|E3467|AIQ|20150228183609|E-19B|||//3/8/2015 1:01:28 AM
CAD_U|CASLU|E3468|AIQ|20150223112108|F-10A|||//3/8/2015 1:01:29 AM
CAD_U|CASLU|E3470|AIQ|20150307001602|A-32L|||//3/8/2015 1:01:30 AM
CAD_U|CASLU|E3480|AIQ|20150307133731|A-36B|||//3/8/2015 1:01:31 AM
CAD_U|CASLU|E3482|AIQ|20150227113059|G-16A|||//3/8/2015 1:01:32 AM
CAD_U|CASLU|E3483|AIQ|20150307094902|B-7A|||//3/8/2015 1:01:34 AM
CAD_U|CASLU|E3484|AIQ|20141230134938|R-17A|||//3/8/2015 1:01:35 AM
CAD_U|CASLC|E40|AIQ|20150307171925|K-11A|||//3/8/2015 1:01:36 AM
CAD_U|CAFKU|E4353|AIQ|20150225113327|FKU-2|||//3/8/2015 1:01:37 AM
CAD_U|CAFKU|E4354|AIQ|20150227180806|FKU-1A|||//3/8/2015 1:01:38 AM
CAD_U|CAFKU|E4363|AIQ|20150227114737|FKU-2|||//3/8/2015 1:01:39 AM
CAD_U|CAFKU|E4368|AIQ|20150222081126|FKU-2|||//3/8/2015 1:01:40 AM
CAD_U|CAFKU|E4373|AIQ|20150220083211|FKU-2|||//3/8/2015 1:01:41 AM
CAD_U|CAFKU|E4382|AIQ|20150206203210|FKU-2|||//3/8/2015 1:01:42 AM
CAD_U|CABEU|E4661|AIQ|20150113150605|BEU-30|||//3/8/2015 1:01:43 AM
CAD_U|CABEU|E4673|AIQ|20150119155153|BEU-30|||//3/8/2015 1:01:44 AM
CAD_U|CABEU|E4675|AIQ|20150123101523|BEU-30|||//3/8/2015 1:01:46 AM
CAD_U|CABEU|E4677|AIQ|20150123165645|BEU-30|||//3/8/2015 1:01:47 AM
CAD_U|CABEU|E4693|AIQ|20150209092707|BEU-30|||//3/8/2015 1:01:48 AM
CAD_U|CABEU|E4694|AIQ|20150211132620|BEU-19|||//3/8/2015 1:01:49 AM
CAD_U|CASLC|E51|AIQ|20150224180333|D-15A|||//3/8/2015 1:01:50 AM
CAD_U|CASLC|E52|AIQ|20150306135507|D-12A|||//3/8/2015 1:01:51 AM
CAD_U|CAMRB|E5392|AIQ|20150307210959|B-11C|||//3/8/2015 1:01:52 AM
CAD_U|CASLC|E62|AIQ|20150307163650|A-24C|||//3/8/2015 1:01:53 AM
CAD_U|CAPSM|E63|AIQ|20150307203007|A-32L|||//3/8/2015 1:01:54 AM
CAD_U|CAPSM|E64|AIQ|20150307214342|A-32M|||//3/8/2015 1:01:55 AM
CAD_U|CABOB|E8965|AIQ|20150307120550|CR-18A|||//3/8/2015 1:01:56 AM
CAD_U|CABOB|E8991|AIQ|20150307120550|CR-18A|||//3/8/2015 1:01:57 AM
CAD_U|CAATA|EATA|AIQ|20150307200207|T-13E|||//3/8/2015 1:01:58 AM
CAD_U|CASLU|ECC-S|AIQ|20150305083546|A-36C|||//3/8/2015 1:02:00 AM
CAD_U|CACMB|ECMB|AIQ|20150203070006|G-16B|||//3/8/2015 1:02:01 AM
CAD_U|CACMC|ECMC|AIQ|20150306193117|A-5B|||//3/8/2015 1:02:02 AM
CAD_U|CAFIV|EFIV1|AIQ|20150307084044|E-7G|||//3/8/2015 1:02:03 AM
CAD_U|CAFIV|EFIV2|AIQ|20150305114354|E-6D|||//3/8/2015 1:02:04 AM
CAD_U|CAFIV|EFIV3|AIQ|20150301145732|N-12D|||//3/8/2015 1:02:05 AM
CAD_U|CAGUA|EGUA|AIQ|20150304064007|GUA|||//3/8/2015 1:02:06 AM
CAD_U|CAHCF|EHCF|AIQ|20150302175647|G-10A|||//3/8/2015 1:02:07 AM
CAD_U|CALPF|ELPF-CUY|AIQ|20141210102633|SBC-41|||//3/8/2015 1:02:08 AM
CAD_U|CALPF|ELPF-PC|AIQ|20150307145237|166-K|||//3/8/2015 1:02:09 AM
CAD_U|CALPF|ELPF-PV|AIQ|20141210102633|LPF36|||//3/8/2015 1:02:10 AM
CAD_U|CALPF|ELPF-PZ|AIQ|20150212181746|K-23A|||//3/8/2015 1:02:11 AM
CAD_U|CAMRB|EMRB|AIQ|20150305112510|B-11C|||//3/8/2015 1:02:13 AM
CAD_U|CAPRF|EPRF|AIQ|20150307225043|R-14B|||//3/8/2015 1:02:14 AM
CAD_U|CASBC|ESBC321|AIQ|20140914145319|SBC-21|||//3/8/2015 1:02:15 AM
CAD_U|CASBC|ESBC322|AIQ|20140914200212|SBC-22|||//3/8/2015 1:02:16 AM
CAD_U|CASBC|ESBC341|AIQ|20140413225430|SBC-41|||//3/8/2015 1:02:17 AM
CAD_U|CASBC|ESBC41|AIQ|20150224095529|SBC-41|||//3/8/2015 1:02:18 AM
CAD_U|CASLO|ESLO|AIQ|20150303180137|A-16D|||//3/8/2015 1:02:19 AM
CAD_U|CASMF|ESMF|AIQ|20150307101345|R-4A|||//3/8/2015 1:02:20 AM
CAD_U|CASMR|ESMR|AIQ|20150307145409|SMR-3|||//3/8/2015 1:02:21 AM
CAD_U|CASMV|ESMV|AIQ|20150306153133|K-13A|||//3/8/2015 1:02:22 AM
CAD_U|CATEM|ETEM|AIQ|20150307224346|T-5B|||//3/8/2015 1:02:23 AM
CAD_U|CATEM|ETEM1|AIQ|20150202190434|T-5B|||//3/8/2015 1:02:24 AM
CAD_U|CASLU|FINV|AIQ|20150307001042|A-36A|||//3/8/2015 1:02:25 AM
CAD_U|CABEU|GAB3|AIQ|20150306072916|BEU-30|||//3/8/2015 1:02:27 AM
CAD_U|CAMBHP|H3810|AIQ|20140910164440|B-11D|||//3/8/2015 1:02:28 AM
CAD_U|CASLC|HM1|AIQ|20150305163711|D-12A|||//3/8/2015 1:02:29 AM
CAD_U|CAMBHP|MBHP|AIQ|20150301152356|B-11D|||//3/8/2015 1:02:30 AM
CAD_U|CASLC|MCI21|AIQ|20130804012852|A-22A|||//3/8/2015 1:02:31 AM
CAD_U|CAMRB|MCI53|AIQ|20130804012954|B-11C|||//3/8/2015 1:02:32 AM
CAD_U|CAAYG|MCI6648|AIQ|20130804013031|E-7G|||//3/8/2015 1:02:33 AM
CAD_U|CAPRF|MCI8150|AIQ|20130804012931|R-14B|||//3/8/2015 1:02:34 AM
CAD_U|CASBY|ME15|AIQ|20150307180831|B-15A|||//3/8/2015 1:02:35 AM
CAD_U|CASLC|ME20|AIQ|20150307182416|E-19B|||//3/8/2015 1:02:36 AM
CAD_U|CASLC|ME22|AIQ|20150307182548|N-3A|||//3/8/2015 1:02:37 AM
CAD_U|CASLC|ME42|AIQ|20150307121524|I-11A|||//3/8/2015 1:02:38 AM
CAD_U|CACMB|ME5791|AIQ|20150307112650|G-16B|||//3/8/2015 1:02:40 AM
CAD_U|CAFKU|MIR4|AIQ|20150305080705|FKU-2|||//3/8/2015 1:02:41 AM
CAD_U|CASLU|MKU34|AIQ|20140823013413|A-10B|||//3/8/2015 1:02:42 AM
CAD_U|CASBY|MR15|AIQ|20150307200334|B-15A|||//3/8/2015 1:02:43 AM
CAD_U|CAMRB|MRBDUTY|AIQ|20150211143845|B-11C|||//3/8/2015 1:02:44 AM
CAD_U|CACMB|NCOR|AIQ|20150206152819|G-16B|||//3/8/2015 1:02:45 AM
CAD_U|CAOES|OES271|AIQ|20141126111751|A-16F||OUT|//3/8/2015 1:02:46 AM
CAD_U|CAOES|OES272|AIQ|20150304084811|E-6D||OUT|//3/8/2015 1:02:47 AM
CAD_U|CAOES|OES274|AIQ|20150302155012|B-11C|||//3/8/2015 1:02:48 AM
CAD_U|CAOES|OES275|AIQ|20141125131307|T-13E||OUT|//3/8/2015 1:02:49 AM
CAD_U|CASLC|P22|AIQ|20150306134034|N-3A|||//3/8/2015 1:02:50 AM
CAD_U|CASLC|P34|AIQ|20150307172754|O-3A|||//3/8/2015 1:02:51 AM
CAD_U|CASLU|P3423|AIQ|20150307120206|A-36F|||//3/8/2015 1:02:52 AM
CAD_U|CASLC|PCFCOVER|AIQ|20080119151539|A-36A|||//3/8/2015 1:02:53 AM
CAD_U|CAPSL|PSL|AIQ|20150228112205|A-24B|||//3/8/2015 1:02:55 AM
CAD_U|CASLC|R20|AIQ|20150307152123|E-19B|||//3/8/2015 1:02:56 AM
CAD_U|CASLC|R21|AIQ|20150305180849|A-22A|||//3/8/2015 1:02:57 AM
CAD_U|CASLC|R30|AIQ|20150307232543|R-17A|||//3/8/2015 1:02:58 AM
CAD_U|CASLC|R33|AIQ|20150224171342|H-6A|||//3/8/2015 1:02:59 AM
CAD_U|CAMRB|R5351|AIQ|20150307211030|B-11C|||//3/8/2015 1:03:00 AM
CAD_U|CAPSM|R64|AIQ|20150305162157|A-32M|||//3/8/2015 1:03:01 AM
