CAD_E|CAPSM11005137|CASLU2011004492|PA|20110616235330|PAO|PA, PUBLIC ASSIST|-120.685115|35.160955|135 SEACLIFF DR |PB|2599 BLK RUBY CT|165 BLK PADDOCK AVE|693_G_6/09_T32S_R12E_M||||E3470|Command:FIVE CITIES Pri Tactical:CALCORD //6/17/2011 12:03:24 AM
CAD_U|CASLU|E3470|ONS|20110617000318|A-32L|11005137|PAO|CASLU2011004492//6/17/2011 12:03:24 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:14 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:14 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 12:38:15 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:16 AM
CAD_U|CACDF|AA430|AIQ|20110607075134|FAAB|||//6/17/2011 12:38:17 AM
CAD_U|CACDF|AA430|AIQ|20110607075134|FAAB|||//6/17/2011 12:38:17 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//6/17/2011 12:38:17 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//6/17/2011 12:38:17 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 12:38:18 AM
CAD_U|CAFKU|D4341|AIQ|20110608071920|FKU-1A|||//6/17/2011 12:38:19 AM
CAD_U|CAFKU|D4341|AIQ|20110608071920|FKU-1A|||//6/17/2011 12:38:19 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//6/17/2011 12:38:19 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//6/17/2011 12:38:19 AM
CAD_U|CAFKU|E4352|AIQ|20110616175426|FKU-2|||//6/17/2011 12:38:20 AM
CAD_U|CAFKU|E4352|AIQ|20110616175426|FKU-2|||//6/17/2011 12:38:20 AM
CAD_U|CAFKU|E4352|AIQ|20110616175426|FKU-2|||//6/17/2011 12:38:20 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//6/17/2011 12:38:21 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//6/17/2011 12:38:21 AM
CAD_U|CABEU|E4674|AIQ|20110607120339|BEU-30|||//6/17/2011 12:38:21 AM
CAD_U|CAFKU|E4353|AIQ|20110613210620|FKU-2|||//6/17/2011 12:38:21 AM
CAD_U|CAFKU|E4353|AIQ|20110613210620|FKU-2|||//6/17/2011 12:38:21 AM
CAD_U|CAFKU|E4353|AIQ|20110613210620|FKU-2|||//6/17/2011 12:38:21 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:22 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:22 AM
CAD_U|CABEU|E4675|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:22 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4677|AIQ|20110610130926|BEU-30|||//6/17/2011 12:38:23 AM
CAD_U|CABEU|E4663|AIQ|20110614133500|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4663|AIQ|20110614133500|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4663|AIQ|20110614133500|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4681|AIQ|20110610130930|BEU-30|||//6/17/2011 12:38:24 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//6/17/2011 12:38:25 AM
CAD_U|CABEU|E4665|AIQ|20110530075003|BEU-30|||//6/17/2011 12:38:26 AM
CAD_U|CABEU|E4665|AIQ|20110530075003|BEU-30|||//6/17/2011 12:38:26 AM
CAD_U|CABEU|E4665|AIQ|20110530075003|BEU-30|||//6/17/2011 12:38:26 AM
CAD_U|CABEU|E4694|AIQ|20110607120505|BEU-30|||//6/17/2011 12:38:26 AM
CAD_U|CABEU|E4694|AIQ|20110607120505|BEU-30|||//6/17/2011 12:38:26 AM
CAD_U|CABEU|E4674|AIQ|20110527194953|BEU-30|||//6/17/2011 12:38:27 AM
CAD_U|CABEU|E4674|AIQ|20110527194953|BEU-30|||//6/17/2011 12:38:27 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//6/17/2011 12:38:27 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//6/17/2011 12:38:27 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//6/17/2011 12:38:27 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//6/17/2011 12:38:28 AM
CAD_U|CABEU|E4677|AIQ|20110528074934|BEU-30|||//6/17/2011 12:38:29 AM
CAD_U|CABEU|E4677|AIQ|20110528074934|BEU-30|||//6/17/2011 12:38:29 AM
CAD_U|CABEU|E4677|AIQ|20110528074934|BEU-30|||//6/17/2011 12:38:29 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//6/17/2011 12:38:29 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//6/17/2011 12:38:29 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//6/17/2011 12:38:30 AM
CAD_U|CABEU|E4681|AIQ|20110530061816|BEU-30|||//6/17/2011 12:38:30 AM
CAD_U|CABEU|E4681|AIQ|20110530061816|BEU-30|||//6/17/2011 12:38:30 AM
CAD_U|CABEU|E4681|AIQ|20110530061816|BEU-30|||//6/17/2011 12:38:30 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:31 AM
CAD_U|CAFKU|E4354|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:31 AM
CAD_U|CABEU|E4693|AIQ|20110603181905|BEU-30|||//6/17/2011 12:38:31 AM
CAD_U|CABEU|E4693|AIQ|20110603181905|BEU-30|||//6/17/2011 12:38:31 AM
CAD_U|CABEU|E4693|AIQ|20110603181905|BEU-30|||//6/17/2011 12:38:31 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//6/17/2011 12:38:32 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//6/17/2011 12:38:32 AM
CAD_U|CAFKU|E4361|AIQ|20110610130854|FKU-1A|||//6/17/2011 12:38:32 AM
CAD_U|CABEU|E4694|AIQ|20110612192317|BEU-30|||//6/17/2011 12:38:33 AM
CAD_U|CABEU|E4694|AIQ|20110612192317|BEU-30|||//6/17/2011 12:38:33 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//6/17/2011 12:38:33 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//6/17/2011 12:38:33 AM
CAD_U|CAFKU|E4362|AIQ|20110610130900|FKU-2|||//6/17/2011 12:38:33 AM
CAD_U|CABEU|GAB1|AIQ|20110614064241|BEU-30|||//6/17/2011 12:38:34 AM
CAD_U|CABEU|GAB1|AIQ|20110614064241|BEU-30|||//6/17/2011 12:38:34 AM
CAD_U|CABEU|GAB1|AIQ|20110614064241|BEU-30|||//6/17/2011 12:38:34 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//6/17/2011 12:38:34 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//6/17/2011 12:38:34 AM
CAD_U|CAFKU|E4363|AIQ|20110610130902|FKU-2|||//6/17/2011 12:38:34 AM
CAD_U|CABEU|GAB2|AIQ|20110610075514|BEU-30|||//6/17/2011 12:38:35 AM
CAD_U|CABEU|GAB2|AIQ|20110610075514|BEU-30|||//6/17/2011 12:38:35 AM
CAD_U|CABEU|GAB2|AIQ|20110610075514|BEU-30|||//6/17/2011 12:38:35 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:35 AM
CAD_U|CAFKU|E4364|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:35 AM
CAD_U|CABEU|GAB3|AIQ|20110616075803|BEU-30|||//6/17/2011 12:38:36 AM
CAD_U|CABEU|GAB3|AIQ|20110616075803|BEU-30|||//6/17/2011 12:38:36 AM
CAD_U|CABEU|GAB3|AIQ|20110616075803|BEU-30|||//6/17/2011 12:38:36 AM
CAD_U|CAFKU|E4373|AIQ|20110610130906|FKU-2|||//6/17/2011 12:38:36 AM
CAD_U|CAFKU|E4373|AIQ|20110610130906|FKU-2|||//6/17/2011 12:38:36 AM
CAD_U|CAFKU|E4373|AIQ|20110610130906|FKU-2|||//6/17/2011 12:38:36 AM
CAD_U|CABEU|GAB4|AIQ|20110616075933|BEU-30|||//6/17/2011 12:38:37 AM
CAD_U|CABEU|GAB4|AIQ|20110616075933|BEU-30|||//6/17/2011 12:38:37 AM
CAD_U|CABEU|GAB4|AIQ|20110616075933|BEU-30|||//6/17/2011 12:38:37 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//6/17/2011 12:38:37 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//6/17/2011 12:38:37 AM
CAD_U|CAFKU|E4382|AIQ|20110610131010|FKU-2|||//6/17/2011 12:38:37 AM
CAD_U|CABEU|GAB6|AIQ|20110613073603|BEU-30|||//6/17/2011 12:38:38 AM
CAD_U|CABEU|GAB6|AIQ|20110613073603|BEU-30|||//6/17/2011 12:38:38 AM
CAD_U|CABEU|GAB6|AIQ|20110613073603|BEU-30|||//6/17/2011 12:38:38 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:38 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:38 AM
CAD_U|CAFKU|E4383|AIQ|20110610150044|FKU-1A|||//6/17/2011 12:38:38 AM
CAD_U|CABEU|HLT406|AIQ|20110612074551|BEU-30|||//6/17/2011 12:38:39 AM
CAD_U|CABEU|HLT406|AIQ|20110612074551|BEU-30|||//6/17/2011 12:38:39 AM
CAD_U|CABEU|HLT406|AIQ|20110612074551|BEU-30|||//6/17/2011 12:38:39 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//6/17/2011 12:38:39 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//6/17/2011 12:38:40 AM
CAD_U|CAFKU|E4391|AIQ|20110610130913|FKU-2|||//6/17/2011 12:38:40 AM
CAD_U|CACDF|T80|AIQ|20110615080226|HAAB|||//6/17/2011 12:38:40 AM
CAD_U|CACDF|T80|AIQ|20110615080226|HAAB|||//6/17/2011 12:38:40 AM
CAD_U|CACDF|T80|AIQ|20110615080226|HAAB|||//6/17/2011 12:38:40 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//6/17/2011 12:38:41 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//6/17/2011 12:38:41 AM
CAD_U|CAFKU|MIR1|AIQ|20110610130941|FKU-2|||//6/17/2011 12:38:41 AM
CAD_U|CACDF|T81|AIQ|20110615080233|HAAB|||//6/17/2011 12:38:41 AM
CAD_U|CACDF|T81|AIQ|20110615080233|HAAB|||//6/17/2011 12:38:41 AM
CAD_U|CACDF|T81|AIQ|20110615080233|HAAB|||//6/17/2011 12:38:42 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//6/17/2011 12:38:42 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//6/17/2011 12:38:42 AM
CAD_U|CAFKU|MIR2|AIQ|20110610130943|FKU-2|||//6/17/2011 12:38:42 AM
CAD_U|CAFKU|E4354|AIQ|20110615055342|FKU-1A|||//6/17/2011 12:38:43 AM
CAD_U|CAFKU|E4354|AIQ|20110615055342|FKU-1A|||//6/17/2011 12:38:43 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//6/17/2011 12:38:43 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//6/17/2011 12:38:43 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//6/17/2011 12:38:43 AM
CAD_U|CAFKU|E4361|AIQ|20110611171917|FKU-1A|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|E4361|AIQ|20110611171917|FKU-1A|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|E4361|AIQ|20110611171917|FKU-1A|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//6/17/2011 12:38:44 AM
CAD_U|CAFKU|E4362|AIQ|20110614065548|FKU-2|||//6/17/2011 12:38:45 AM
CAD_U|CAFKU|E4362|AIQ|20110614065548|FKU-2|||//6/17/2011 12:38:45 AM
CAD_U|CAFKU|E4362|AIQ|20110614065548|FKU-2|||//6/17/2011 12:38:45 AM
CAD_U|CACDF|T78|AIQ|20110605093650|FAAB|||//6/17/2011 12:38:45 AM
CAD_U|CACDF|T78|AIQ|20110605093650|FAAB|||//6/17/2011 12:38:45 AM
CAD_U|CAFKU|E4363|AIQ|20110527225612|FKU-2|||//6/17/2011 12:38:46 AM
CAD_U|CAFKU|E4363|AIQ|20110527225612|FKU-2|||//6/17/2011 12:38:46 AM
CAD_U|CAFKU|E4363|AIQ|20110527225612|FKU-2|||//6/17/2011 12:38:46 AM
CAD_U|CAFKU|E4373|AIQ|20110614081521|FKU-2|||//6/17/2011 12:38:47 AM
CAD_U|CAFKU|E4373|AIQ|20110614081521|FKU-2|||//6/17/2011 12:38:47 AM
CAD_U|CAFKU|E4373|AIQ|20110614081521|FKU-2|||//6/17/2011 12:38:47 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//6/17/2011 12:38:48 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//6/17/2011 12:38:48 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//6/17/2011 12:38:48 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//6/17/2011 12:38:49 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//6/17/2011 12:38:49 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//6/17/2011 12:38:49 AM
CAD_U|CAFKU|MIR2|AIQ|20110613184942|FKU-2|||//6/17/2011 12:38:50 AM
CAD_U|CAFKU|MIR2|AIQ|20110613184942|FKU-2|||//6/17/2011 12:38:50 AM
CAD_U|CAFKU|MIR2|AIQ|20110613184942|FKU-2|||//6/17/2011 12:38:50 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//6/17/2011 12:38:52 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//6/17/2011 12:38:52 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//6/17/2011 12:38:52 AM
CAD_U|CAFKU|MIR4|AIQ|20110613184943|FKU-2|||//6/17/2011 12:38:53 AM
CAD_U|CAFKU|MIR4|AIQ|20110613184943|FKU-2|||//6/17/2011 12:38:53 AM
CAD_U|CAFKU|MIR4|AIQ|20110613184943|FKU-2|||//6/17/2011 12:38:53 AM
CAD_U|CACDF|T78|AIQ|20110606171248|FAAB|||//6/17/2011 12:38:54 AM
CAD_U|CACDF|T78|AIQ|20110606171248|FAAB|||//6/17/2011 12:38:54 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:10 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:11 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:14 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:14 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:17 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:18 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|OOA|OTH, ASSIST|-120.717605|35.553433|=L(35.553433|TEMP| | |553_C_1/30_T27S_R12E_M||-120.717604|35.553433||//6/17/2011 12:42:18 AM
CAD_E|CATEM11005138|CASLU|EMS2CDF/|20110617004205|MEDC2|MED, CODE 2|-120.717604|35.553431|290 HEATHER CT |TEMP|1050 BLK LAS TABLAS RD| DEAD-END|553_C_1/30_T27S_R12E_M|||||//6/17/2011 12:42:33 AM
CAD_E|CATEM11005138|CASLU2011004493|EMS2CDF/|20110617004205|MEDC2|MED, CODE 2|-120.717604|35.553431|290 HEATHER CT |TEMP|1050 BLK LAS TABLAS RD| DEAD-END|553_C_1/30_T27S_R12E_M|||||//6/17/2011 12:42:43 AM
CAD_E|CATEM11005138|CASLU2011004493|EMS2CDF/|20110617004205|MEDC2|MED, CODE 2|-120.717604|35.553431|290 HEATHER CT |TEMP|1050 BLK LAS TABLAS RD| DEAD-END|553_C_1/30_T27S_R12E_M|||||//6/17/2011 12:54:57 AM
CAD_E|CATEM11005138//6/17/2011 12:55:13 AM
CAD_U|CACDF|C406|AIQ|20110527115350|BVHB|||//6/17/2011 1:28:11 AM
CAD_U|CACDF|C406|AIQ|20110527115350|BVHB|||//6/17/2011 1:28:11 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 1:28:12 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 1:28:12 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 1:28:12 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 1:28:13 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 1:28:13 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 1:28:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 1:28:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 1:28:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 1:28:13 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 1:28:14 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|D4643|AIQ|20110613074512|BEU-30|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|E4664|AIQ|20110610145524|BEU-31|||//6/17/2011 1:28:15 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 1:28:16 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 1:28:16 AM
CAD_U|CABEU|D4645|AIQ|20110610081312|BEU-30|||//6/17/2011 1:28:16 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//6/17/2011 1:28:16 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//6/17/2011 1:28:16 AM
CAD_U|CACDF|AA430|AIQ|20110607075134|FAAB|||//6/17/2011 1:28:17 AM
CAD_U|CACDF|AA430|AIQ|20110607075134|FAAB|||//6/17/2011 1:28:17 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 1:28:17 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 1:28:17 AM
CAD_U|CAFKU|D4340|AIQ|20110610132737|FKU-1A|||//6/17/2011 1:28:17 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 1:28:18 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 1:28:18 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//6/17/2011 1:28:18 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//6/17/2011 1:28:18 AM
CAD_U|CAFKU|D4341|AIQ|20110613140701|FKU-1A|||//6/17/2011 1:28:18 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 1:28:19 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 1:28:19 AM
CAD_U|CABEU|E4660|AIQ|20110531075700|BEU-30|||//6/17/2011 1:28:19 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//6/17/2011 1:28:19 AM
CAD_U|CAFKU|E4353|AIQ|20110610134626|FKU-2|||//6/17/2011 1:28:19 AM
