CAD_U|CASLC|E50|AIQ|20140401000923|C-7A|||//4/1/2014 12:09:23 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 12:27:31 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 12:27:31 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 12:27:31 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 12:27:32 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 12:27:32 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 12:27:32 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 12:27:33 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 12:27:33 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 12:27:34 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 12:27:34 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 12:27:34 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 12:27:36 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 12:27:36 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 12:27:36 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 12:27:37 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 12:27:37 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 12:27:37 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 12:27:38 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 12:27:38 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 12:27:38 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 12:27:39 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 12:27:39 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 12:27:39 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 12:27:40 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 12:27:40 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 12:27:40 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 12:27:42 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 12:27:42 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 12:27:42 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 12:27:43 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 12:27:43 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 12:27:43 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 12:27:44 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 12:27:44 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 12:27:44 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 12:27:45 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 12:27:45 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 12:27:45 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 12:27:46 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 12:27:46 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 12:27:46 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 12:27:48 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 12:27:48 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 12:27:48 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 12:27:49 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 12:27:49 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 12:27:49 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 12:27:50 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 12:27:50 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 12:27:50 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 12:27:51 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 12:27:51 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 12:27:51 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 12:27:52 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 12:27:52 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 12:27:52 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 12:27:54 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 12:27:54 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 12:27:54 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 12:27:55 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 12:27:55 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 12:27:55 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 12:27:56 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 12:27:56 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 12:27:56 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 12:27:57 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 12:27:57 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 12:27:57 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 12:27:59 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 12:27:59 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 12:27:59 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 12:28:00 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 12:28:00 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 12:28:00 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 12:28:01 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 12:28:01 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 12:28:01 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 1:17:28 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 1:17:28 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 1:17:28 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 1:17:30 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 1:17:30 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 1:17:30 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 1:17:31 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 1:17:31 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 1:17:31 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 1:17:32 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 1:17:32 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 1:17:32 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 1:17:33 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 1:17:33 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 1:17:33 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 1:17:35 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 1:17:35 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 1:17:35 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 1:17:36 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 1:17:36 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 1:17:37 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 1:17:37 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 1:17:37 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 1:17:38 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 1:17:38 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 1:17:38 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 1:17:39 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 1:17:39 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 1:17:39 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 1:17:41 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 1:17:41 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 1:17:41 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 1:17:42 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 1:17:42 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 1:17:42 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 1:17:43 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 1:17:43 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 1:17:43 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 1:17:44 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 1:17:44 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 1:17:44 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 1:17:45 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 1:17:45 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 1:17:45 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 1:17:47 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 1:17:47 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 1:17:47 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 1:17:48 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 1:17:48 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 1:17:48 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 1:17:49 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 1:17:49 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 1:17:49 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 1:17:50 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 1:17:50 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 1:17:50 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 1:17:51 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 1:17:51 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 1:17:51 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 1:17:52 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 1:17:52 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 1:17:52 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 1:17:54 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 1:17:54 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 1:17:54 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 1:17:55 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 1:17:55 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 1:17:55 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 1:17:56 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 1:17:56 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 1:17:56 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 1:17:57 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 1:17:57 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 1:17:58 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 1:17:58 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 1:17:58 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 1:18:00 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 1:18:00 AM
CAD_U|CAFKU|E4368|AIQ|20140327110942|FKU-2|||//4/1/2014 1:18:00 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 1:18:01 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 1:18:01 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/1/2014 1:18:01 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 1:18:02 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 1:18:02 AM
CAD_U|CAFKU|E4373|AIQ|20140309084650|FKU-2|||//4/1/2014 1:18:02 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 1:18:04 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 1:18:04 AM
CAD_U|CAFKU|MIR1|AIQ|20140323075551|FKU-2|||//4/1/2014 1:18:04 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 1:18:05 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 1:18:05 AM
CAD_U|CAFKU|MIR2|AIQ|20140331072826|FKU-2|||//4/1/2014 1:18:05 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 1:18:06 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 1:18:06 AM
CAD_U|CAFKU|MIR3|AIQ|20140323075554|FKU-1A|||//4/1/2014 1:18:06 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 1:18:07 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 1:18:07 AM
CAD_U|CAFKU|MIR4|AIQ|20140331072827|FKU-2|||//4/1/2014 1:18:07 AM
CAD_U|CASLC|E40|RTQ|20140401011822|K-11A|14003825|MTC|CASLU2014002822//4/1/2014 1:18:22 AM
CAD_E|CASLU14003813//4/1/2014 1:18:35 AM
CAD_E|CASLU14003813//4/1/2014 1:18:50 AM
CAD_E|CASLC14003825//4/1/2014 1:32:16 AM
CAD_U|CASLC|E40|AOR|20140401013217|K-11A||MED|//4/1/2014 1:32:16 AM
CAD_E|CASLC14003825//4/1/2014 1:32:32 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 2:08:21 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 2:08:21 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 2:08:21 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 2:08:22 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 2:08:22 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 2:08:22 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 2:08:23 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 2:08:23 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 2:08:23 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 2:08:24 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 2:08:24 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 2:08:24 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 2:08:26 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 2:08:26 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 2:08:26 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 2:08:27 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 2:08:27 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 2:08:29 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 2:08:29 AM
CAD_U|CABEU|E4666|AIQ|20140312074024|BEU-30|||//4/1/2014 2:08:29 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 2:08:30 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 2:08:30 AM
CAD_U|CABEU|E4669|AIQ|20140117110142|BEU-30|||//4/1/2014 2:08:30 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 2:08:31 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 2:08:31 AM
CAD_U|CABEU|E4673|AIQ|20140331084401|BEU-30|||//4/1/2014 2:08:31 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 2:08:32 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 2:08:33 AM
CAD_U|CABEU|E4675|AIQ|20140127200405|BEU-30|||//4/1/2014 2:08:33 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 2:08:34 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 2:08:34 AM
CAD_U|CABEU|E4676|AIQ|20140320112145|BEU-30|||//4/1/2014 2:08:34 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 2:08:35 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 2:08:35 AM
CAD_U|CABEU|E4681|AIQ|20140312183012|BEU-30|||//4/1/2014 2:08:35 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 2:08:36 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 2:08:36 AM
CAD_U|CABEU|E4684|AIQ|20140324160838|BEU-35|||//4/1/2014 2:08:36 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 2:08:37 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 2:08:37 AM
CAD_U|CABEU|E4686|AIQ|20140320112223|BEU-30|||//4/1/2014 2:08:37 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 2:08:38 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 2:08:38 AM
CAD_U|CABEU|E4693|AIQ|20140331074106|BEU-30|||//4/1/2014 2:08:38 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 2:08:40 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 2:08:40 AM
CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/1/2014 2:08:40 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 2:08:41 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 2:08:41 AM
CAD_U|CABEU|GAB3|AIQ|20140331075841|BEU-30|||//4/1/2014 2:08:41 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 2:08:42 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 2:08:42 AM
CAD_U|CABEU|GAB4|AIQ|20140331075954|BEU-30|||//4/1/2014 2:08:42 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 2:08:43 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 2:08:43 AM
CAD_U|CABEU|GAB5|AIQ|20140331080107|BEU-30|||//4/1/2014 2:08:43 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 2:08:44 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 2:08:44 AM
CAD_U|CABEU|GAB6|AIQ|20140331080158|BEU-30|||//4/1/2014 2:08:44 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 2:08:46 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 2:08:46 AM
CAD_U|CABEU|HLT406|AIQ|20140323141711|BEU-30|||//4/1/2014 2:08:46 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 2:08:47 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 2:08:47 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/1/2014 2:08:47 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 2:08:48 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 2:08:48 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 2:08:48 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 2:08:49 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 2:08:49 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/1/2014 2:08:49 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 2:08:50 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/1/2014 2:08:50 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 2:08:52 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 2:08:52 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/1/2014 2:08:52 AM
